entropy,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_max_degree,contains_bug
3.803733828,45,94,2.0889,2.0889,17,188,4,3,14,TRUE
4.361323119,24,44,1.8333,1.8333,12,88,3,3,11,TRUE
1.982454961,0,0,0,0,0,0,0,0,0,TRUE
3.559761255,0,0,0,0,0,0,0,0,0,TRUE
2.566718033,37,76,2.0541,2.0541,15,152,4,3,13,TRUE
2.844771366,0,0,0,0,0,0,0,0,0,TRUE
2.030774632,0,0,0,0,0,0,0,0,0,TRUE
4.501067388,0,0,0,0,0,0,0,0,0,TRUE
1.785209043,0,0,0,0,0,0,0,0,0,TRUE
3.892013106,0,0,0,0,0,0,0,0,0,TRUE
3.126348963,35,68,1.9429,1.9429,15,136,4,3,17,TRUE
1.876091712,43,98,2.2791,2.2791,18,196,4,3,20,TRUE
4.442986504,38,91,2.3947,2.3947,18,182,4,3,19,TRUE
5.56968724,45,137,3.0444,3.0444,28,274,6,4,35,TRUE
2.395772354,41,89,2.1707,2.1707,19,178,4,3,13,TRUE
3.543187403,45,110,2.4444,2.4444,24,220,4,3,20,TRUE
3.167766294,33,60,1.8182,1.8182,12,120,3,3,10,TRUE
1.849190418,0,0,0,0,0,0,0,0,0,TRUE
2.952696511,38,83,2.1842,2.1842,16,166,4,3,14,TRUE
3.250663998,34,79,2.3235,2.3235,16,158,4,3,13,TRUE
3.314902856,15,19,1.2667,1.2667,8,38,2,2,8,TRUE
3.8427507,0,0,0,0,0,0,0,0,0,TRUE
3.29611256,33,68,2.0606,2.0606,15,136,4,3,16,TRUE
2.448267248,27,51,1.8889,1.8889,12,102,3,3,11,TRUE
1.188522785,11,16,1.4545,1.4545,7,32,2,2,9,TRUE
1.347159811,21,37,1.7619,1.7619,10,74,3,3,10,TRUE
3.173091124,32,62,1.9375,1.9375,15,124,3,3,16,TRUE
0.183122068,18,25,1.3889,1.3889,8,50,2,2,7,TRUE
5.96839731,6,7,1.1667,1.1667,6,14,2,1,6,TRUE
3.196378845,38,97,2.5526,2.5526,20,194,5,4,15,TRUE
3.187630048,31,51,1.6452,1.6452,11,102,3,2,4,TRUE
4.987283594,37,89,2.4054,2.4054,17,178,4,3,12,TRUE
1.76955863,22,35,1.5909,1.5909,9,70,3,2,8,TRUE
2.864804166,23,39,1.6957,1.6957,12,78,3,2,13,TRUE
2.196824816,28,47,1.6786,1.6786,12,94,3,3,9,TRUE
6.77788964,57,160,2.807,2.807,37,320,5,4,29,TRUE
2.693211916,34,75,2.2059,2.2059,15,150,4,3,19,TRUE
1.816788438,0,0,0,0,0,0,0,0,0,TRUE
4.144679765,26,45,1.7308,1.7308,14,90,3,2,15,TRUE
3.992992903,0,0,0,0,0,0,0,0,0,TRUE
5.001707199,0,0,0,0,0,0,0,0,0,TRUE
2.636838328,30,57,1.9,1.9,14,114,3,2,9,TRUE
1.845350937,12,16,1.3333,1.3333,8,32,2,2,0,TRUE
2.932890908,0,0,0,0,0,0,0,0,0,TRUE
4.263370013,41,101,2.4634,2.4634,22,202,4,3,18,TRUE
1.314079375,0,0,0,0,0,0,0,0,0,TRUE
1.480118463,14,18,1.2857,1.2857,8,36,2,2,8,TRUE
1.094914318,23,34,1.4783,1.4783,10,68,2,2,7,TRUE
1.49270631,20,28,1.4,1.4,9,56,2,2,9,TRUE
2.734460338,31,57,1.8387,1.8387,14,114,3,3,8,TRUE
2.17725759,16,23,1.4375,1.4375,10,46,3,2,9,TRUE
2.74484257,23,33,1.4348,1.4348,9,66,2,2,0,TRUE
1.194173734,24,36,1.5,1.5,10,72,3,2,7,TRUE
3.6060196,36,76,2.1111,2.1111,16,152,4,3,15,TRUE
5.317933545,37,93,2.5135,2.5135,16,186,5,4,16,TRUE
3.333793252,31,70,2.2581,2.2581,16,140,4,3,22,TRUE
3.456013363,32,67,2.0938,2.0938,13,134,4,3,13,TRUE
0.991264261,19,26,1.3684,1.3684,10,52,2,2,0,TRUE
4.526301557,30,69,2.3,2.3,20,138,4,3,19,TRUE
4.748236933,34,73,2.1471,2.1471,17,146,4,3,10,TRUE
5.830550717,0,0,0,0,0,0,0,0,0,TRUE
3.082336414,0,0,0,0,0,0,0,0,0,TRUE
1.383136807,0,0,0,0,0,0,0,0,0,TRUE
6.40393783,0,0,0,0,0,0,0,0,0,TRUE
2.809004222,0,0,0,0,0,0,0,0,0,TRUE
2.887847916,0,0,0,0,0,0,0,0,0,TRUE
5.321216774,32,55,1.7188,1.7188,13,110,3,3,10,TRUE
1.936608463,42,81,1.9286,1.9286,16,162,3,3,18,TRUE
3.604379367,0,0,0,0,0,0,0,0,0,TRUE
0.764204507,15,26,1.7333,1.7333,10,52,3,3,8,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
