0,1,2,3,4,5,6
5,5,92,1,11,101,1
3,4,3,36,12,138,0
1,1,11,0,12,4,0
4,9,68,47,12,154,1
2,2,207,1,12,19,1
2,2,37,0,12,35,1
5,9,298,159,12,160,1
2,3,6,0,12,121,0
1,1,6,0,12,27,0
1,2,54,0,1,0,1
2,4,28,1,12,71,0
2,3,12,2,12,100,1
1,1,1,3,12,39,1
8,14,81,1,12,243,1
1,1,193,193,5,1,1
1,1,264,4,12,2,1
1,1,17,2,11,38,0
1,1,91,0,1,0,0
1,2,141,93,12,55,1
12,26,46,49,12,659,1
1,1,5,0,11,4,0
2,2,30,8,12,99,0
1,1,10,1,12,3,1
1,1,1,1,12,18,0
1,1,1,2,12,33,1
1,2,54,0,1,0,1
2,3,91,82,12,76,0
1,1,3,0,12,13,0
1,1,186,186,12,2,1
6,17,0,2,12,99,0
1,1,185,184,11,3,1
1,2,10,9,12,71,0
1,2,54,0,1,0,1
1,2,6,6,12,109,0
3,4,20,7,11,49,1
5,7,28,22,12,54,1
12,26,46,49,12,659,1
3,11,98,137,9,159,0
1,1,1,1,11,1,0
2,2,207,1,12,19,1
3,4,20,7,11,49,1
3,5,34,3,12,125,1
2,3,17,1,12,67,0
2,3,13,8,12,10,1
2,2,4,3,12,49,0
2,2,48,1,12,35,0
8,8,108,2,12,230,1
1,1,64,0,12,2,0
1,2,15,10,11,48,0
4,6,168,0,12,119,1
4,6,89,5,12,39,1
3,4,151,2,12,161,1
4,4,12,3,12,102,1
1,2,92,16,12,11,1
1,1,186,186,12,2,1
11,21,38,123,12,521,1
1,1,4,0,12,8,0
1,1,1,0,12,19,0
1,2,54,0,1,0,1
1,1,14,0,1,0,1
9,11,56,57,12,181,0
2,3,95,45,12,65,0
1,1,3,0,11,17,0
8,8,108,2,12,230,1
5,7,43,2,12,135,1
3,4,151,2,12,161,1
1,2,54,0,1,0,1
1,2,92,16,12,11,1
2,3,21,3,12,98,1
3,4,129,115,11,49,1
3,3,72,15,11,39,1
1,2,11,3,11,27,0
1,1,264,4,12,2,1
3,3,20,1,12,174,1
3,3,27,16,12,11,1
1,1,264,4,12,2,1
1,1,233,2,12,11,1
2,2,82,73,11,65,1
4,23,2476,0,11,5,1
2,2,2,2,12,27,1
1,1,10,3,12,5,0
1,1,10,1,11,9,0
1,1,198,198,1,1,1
3,4,4,4,11,168,0
2,3,68,53,12,29,1
1,1,2,2,12,1,0
2,2,21,12,12,20,1
4,23,2476,0,11,5,1
1,1,1,4,12,40,1
3,4,3,36,12,138,0
1,1,12,0,12,14,0
1,1,418,0,1,0,0
1,2,30,4,11,2,0
3,4,61,32,12,202,1
1,1,58,9,12,11,0
1,1,1,1,12,14,0
3,3,12,6,12,100,0
3,4,19,1,12,8,0
3,4,47,0,12,107,0
2,2,22,0,12,37,0
5,14,82,35,12,164,1
2,2,2,2,12,27,1
1,1,1,1,12,14,0
2,11,1607,0,5,2,1
2,2,48,1,12,35,0
1,3,169,158,11,26,1
3,5,30,9,12,133,1
1,1,3,3,11,1,0
4,7,123,59,12,158,1
3,5,30,9,12,133,1
5,5,65,65,11,73,1
3,3,123,12,12,56,0
2,2,84,74,12,65,1
1,2,14,0,11,12,0
4,4,129,17,12,45,1
8,8,108,2,12,230,1
1,1,247,3,12,6,1
1,2,54,0,1,0,1
1,1,1,2,12,29,1
7,8,137,77,12,104,1
2,3,81,26,12,74,0
9,20,568,660,12,351,1
5,7,43,2,12,135,1
3,3,72,15,11,39,1
4,4,12,3,12,102,1
1,1,4,4,12,20,0
2,4,475,26,11,7,0
2,3,12,24,12,66,1
1,2,54,0,1,0,1
1,1,1,0,12,4,0
5,9,298,159,12,160,1
2,3,13,8,12,10,1
1,1,7,1,11,3,0
1,1,25,28,11,2,0
1,1,14,2,12,29,0
1,1,27,1,12,12,0
2,4,475,26,11,7,0
1,2,2,2,12,86,0
1,1,186,186,12,2,1
2,3,17,1,12,67,0
1,2,92,16,12,11,1
5,14,82,35,12,164,1
4,6,168,0,12,119,1
1,1,4,0,12,20,0
1,2,54,0,1,0,1
1,1,46,0,12,10,0
3,3,20,1,12,174,1
1,1,58,9,12,11,0
1,2,0,6,11,58,0
1,1,3,1,11,2,1
1,1,33,9,12,27,0
1,1,1,0,12,19,0
1,1,1,1,12,1,0
3,3,20,1,12,174,1
3,3,3,3,12,87,0
1,1,5,5,11,1,0
7,8,137,77,12,104,1
1,1,30,8,11,22,0
4,4,129,17,12,45,1
1,1,187,187,10,1,1
1,1,5,0,11,2,0
9,11,56,57,12,181,0
1,1,1,1,11,2,1
3,3,27,16,12,11,1
1,1,2,6,12,28,0
5,5,128,24,11,51,1
2,3,920,0,1,0,1
1,1,1,1,10,3,0
5,9,298,159,12,160,1
8,13,84,1,12,242,1
1,2,141,93,12,55,1
1,1,1,16,12,6,0
3,5,31,6,12,130,1
1,1,264,4,12,2,1
1,1,14,0,1,0,1
1,1,64,11,12,3,1
2,2,21,12,12,20,1
17,34,105,105,11,747,1
4,7,58,56,12,147,1
1,1,2,0,11,34,0
11,21,38,123,12,521,1
1,1,1,0,11,6,0
1,1,1,0,12,19,0
3,3,8,24,11,66,1
1,1,28,0,1,1,0
1,2,10,12,12,48,0
2,3,21,3,12,98,1
2,3,46,2,11,9,0
2,3,4,4,11,74,0
1,1,1,3,12,63,0
1,1,418,0,1,0,0
2,3,25,4,12,145,1
5,5,92,1,11,101,1
3,4,20,7,11,49,1
8,8,108,2,12,230,1
2,2,21,12,12,20,1
1,1,1,1,12,14,0
7,8,137,77,12,104,1
1,1,123,4,11,3,0
4,7,58,56,12,147,1
2,2,2,8,11,19,0
8,8,108,2,12,230,1
4,4,66,65,11,72,1
1,1,31,0,1,0,0
1,1,1,0,12,4,0
2,2,15,12,11,31,1
5,14,82,35,12,164,1
1,1,5,0,11,4,0
1,1,7,0,12,17,0
1,1,15,4,12,41,1
1,1,4,4,12,20,0
1,1,31,0,1,0,0
2,3,12,2,12,100,1
2,3,44,5,12,78,1
3,3,6,8,12,45,0
3,3,0,26,11,26,0
6,17,0,2,12,99,0
3,3,12,2,12,101,1
1,1,7,0,12,17,0
2,2,2,3,12,38,0
1,3,169,158,11,26,1
2,3,35,5,11,19,0
1,1,11,0,12,4,0
2,3,44,5,12,78,1
2,3,109,23,12,125,0
1,1,1,0,12,44,0
1,1,0,21,11,7,0
3,4,20,7,11,49,1
1,1,186,186,12,2,1
1,1,1,0,12,1,0
4,8,111,52,12,159,1
1,1,1,1,11,2,1
3,4,61,32,12,202,1
1,1,30,8,11,22,0
1,1,30,0,12,5,0
1,1,69,152,12,6,1
1,1,15,4,12,41,1
3,3,7,4,11,110,0
2,2,24,14,12,14,1
8,8,108,2,12,230,1
2,2,15,12,11,31,1
1,2,45,4,12,74,0
