entropy,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,contains_bug
3.11861637,28,48,1.7143,1.7143,15,96,3,28,48,TRUE
2.653939178,25,41,1.64,1.64,13,82,3,24,40,TRUE
0.468995594,22,36,1.6364,1.6364,10,72,3,11,15,TRUE
1.455023839,26,39,1.5,1.5,12,78,3,11,14,TRUE
0,18,24,1.3333,1.3333,9,48,2,14,18,TRUE
2.677870617,15,23,1.5333,1.5333,11,46,3,14,22,TRUE
1.027370496,14,18,1.2857,1.2857,8,36,2,8,11,TRUE
0.309543429,22,35,1.5909,1.5909,8,70,3,25,42,TRUE
1.514227964,19,27,1.4211,1.4211,10,54,3,18,22,TRUE
1.019864571,25,38,1.52,1.52,10,76,3,19,27,TRUE
2.628183163,15,20,1.3333,1.3333,7,40,2,14,19,TRUE
0,19,34,1.7895,1.7895,14,68,3,9,12,TRUE
0.67519144,24,37,1.5417,1.5417,10,74,3,13,17,TRUE
1.875249992,30,50,1.6667,1.6667,14,100,3,16,22,TRUE
2.187375391,29,47,1.6207,1.6207,12,94,3,30,48,TRUE
1.336465888,23,36,1.5652,1.5652,9,72,3,7,10,TRUE
1.548416713,32,67,2.0938,2.0938,16,134,4,34,66,TRUE
1.509249287,27,51,1.8889,1.8889,13,102,3,31,55,TRUE
2.967455671,38,79,2.0789,2.0789,16,158,4,34,68,TRUE
3.226449947,40,96,2.4,2.4,19,192,4,33,66,TRUE
0.957639055,22,34,1.5455,1.5455,8,68,3,13,18,TRUE
1.406441585,40,83,2.075,2.075,17,166,4,40,83,TRUE
3.50353525,25,43,1.72,1.72,12,86,3,16,25,TRUE
3.141580317,21,39,1.8571,1.8571,11,78,3,12,19,TRUE
1.117089261,29,47,1.6207,1.6207,10,94,3,26,40,TRUE
0,17,26,1.5294,1.5294,8,52,3,17,25,TRUE
1.360111898,14,19,1.3571,1.3571,8,38,2,8,9,TRUE
2.073046443,19,30,1.5789,1.5789,9,60,3,22,36,TRUE
2.300361279,33,61,1.8485,1.8485,14,122,3,24,37,TRUE
2.603459272,35,71,2.0286,2.0286,15,142,4,19,28,TRUE
0,11,15,1.3636,1.3636,7,30,2,15,20,TRUE
2.298502627,19,29,1.5263,1.5263,9,58,3,21,29,TRUE
3.411099457,30,62,2.0667,2.0667,15,124,4,25,42,TRUE
2.542950003,36,73,2.0278,2.0278,17,146,4,36,73,TRUE
2.244183995,44,102,2.3182,2.3182,19,204,4,32,56,TRUE
0.978015557,22,39,1.7727,1.7727,12,78,3,16,21,TRUE
0.902248991,15,21,1.4,1.4,8,42,2,15,21,TRUE
1.309479778,21,31,1.4762,1.4762,8,62,2,13,18,TRUE
4.693049325,38,79,2.0789,2.0789,18,158,4,38,79,TRUE
4.478765045,42,90,2.1429,2.1429,19,180,4,42,90,TRUE
0.702466551,20,32,1.6,1.6,8,64,3,20,31,TRUE
3.326571371,35,69,1.9714,1.9714,15,138,3,35,68,TRUE
0.994030211,13,17,1.3077,1.3077,7,34,2,9,10,TRUE
1.292451946,28,50,1.7857,1.7857,14,100,3,10,16,TRUE
2.681664738,26,49,1.8846,1.8846,14,98,3,24,40,TRUE
4.080034153,22,35,1.5909,1.5909,10,70,3,19,26,TRUE
1.247992283,22,35,1.5909,1.5909,8,70,3,24,39,TRUE
1.424048192,16,21,1.3125,1.3125,9,42,2,7,10,TRUE
1.04944589,27,44,1.6296,1.6296,9,88,3,23,34,TRUE
