0,1,2,3,4,5,6
1.0,6.0,363.0,348.0,3.0,101.0,1.0
3.0,3.0,44.0,11.0,11.0,18.0,1.0
3.0,13.0,893.0,149.0,8.0,103.0,1.0
2.0,3.0,3.0,45.0,16.0,3.0,0.0
7.0,8.0,166.0,28.0,14.0,62.0,1.0
16.0,20.0,151.0,150.0,8.0,15.0,0.0
3.0,6.0,91.0,10.0,1.0,16.0,1.0
2.0,3.0,53.0,22.0,9.0,93.0,1.0
2.0,3.0,9.0,14.0,12.0,102.0,0.0
3.0,3.0,44.0,11.0,11.0,18.0,1.0
3.0,3.0,29.0,3.0,3.0,45.0,0.0
2.0,2.0,6.0,5.0,15.0,16.0,0.0
1.0,6.0,142.0,42.0,11.0,62.0,1.0
5.0,27.0,100.0,102.0,11.0,209.0,1.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,15.0,10.0,0.0
1.0,2.0,50.0,28.0,12.0,65.0,1.0
2.0,7.0,35.0,59.0,9.0,38.0,1.0
3.0,10.0,442.0,265.0,12.0,195.0,1.0
3.0,12.0,659.0,198.0,7.0,47.0,1.0
6.0,7.0,6.0,36.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,14.0,26.0,0.0
1.0,1.0,2.0,0.0,3.0,18.0,0.0
1.0,10.0,221.0,8.0,11.0,35.0,0.0
1.0,2.0,5.0,1.0,14.0,3.0,0.0
1.0,1.0,7.0,6.0,1.0,9.0,0.0
2.0,4.0,14.0,14.0,2.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,10.0,305.0,238.0,3.0,71.0,1.0
1.0,1.0,1.0,1.0,11.0,1.0,0.0
1.0,1.0,2.0,2.0,9.0,1.0,0.0
1.0,1.0,3.0,0.0,1.0,0.0,0.0
10.0,13.0,80.0,201.0,12.0,213.0,1.0
7.0,13.0,670.0,392.0,12.0,228.0,1.0
1.0,1.0,12.0,18.0,3.0,2.0,0.0
1.0,3.0,27.0,9.0,11.0,20.0,1.0
2.0,8.0,120.0,35.0,8.0,50.0,1.0
12.0,59.0,4181.0,178.0,14.0,279.0,0.0
1.0,2.0,4.0,4.0,12.0,60.0,0.0
3.0,4.0,7.0,7.0,14.0,25.0,0.0
6.0,15.0,563.0,115.0,9.0,44.0,1.0
3.0,12.0,659.0,198.0,7.0,47.0,1.0
3.0,6.0,88.0,4.0,12.0,135.0,1.0
2.0,2.0,5.0,23.0,11.0,9.0,0.0
1.0,1.0,6.0,0.0,3.0,6.0,0.0
48.0,57.0,13.0,30.0,11.0,37.0,0.0
6.0,8.0,704.0,0.0,3.0,8.0,1.0
4.0,8.0,93.0,38.0,12.0,220.0,0.0
1.0,1.0,22.0,24.0,12.0,24.0,0.0
2.0,3.0,75.0,7.0,12.0,5.0,1.0
1.0,1.0,13.0,10.0,3.0,23.0,1.0
1.0,1.0,26.0,4.0,10.0,3.0,1.0
2.0,4.0,46.0,1.0,12.0,29.0,0.0
3.0,3.0,15.0,13.0,12.0,70.0,0.0
2.0,2.0,61.0,13.0,10.0,2.0,0.0
2.0,4.0,4.0,2.0,12.0,85.0,0.0
