f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,contains_bug
56,8,115,638.78,35.93,11356.05,630.89,45,67,14,TRUE
105,19,0,0,0,0,0,0,0,37,TRUE
15,1,91,411.64,28.07,6037.45,335.41,9,59,1,TRUE
5,1,8,24,9.6,60,3.33,2,5,1,FALSE
51,4,0,0,0,0,0,0,0,7,TRUE
190,39,695,4757.62,154.91,146112.75,8117.38,155,364,77,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
39,8,118,665.98,62.27,7122.23,395.68,27,63,15,TRUE
27,1,88,398.07,20.41,7762.43,431.25,17,58,1,TRUE
26,2,142,554.78,16.74,18386.94,1021.5,18,84,3,FALSE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
22,3,50,222.97,22.3,2229.72,123.87,17,30,5,FALSE
10,3,41,187.98,25.06,1409.88,78.33,6,26,5,FALSE
23,2,55,197.17,19.72,1971.73,109.54,18,35,3,FALSE
53,4,106,539.27,36.3,8012.03,445.11,36,58,7,TRUE
98,7,324,2048.3,72.52,57855.62,3214.2,75,184,13,TRUE
33,3,90,437.22,27.6,6927.18,384.84,27,51,5,TRUE
7,1,16,59.21,14.5,241.76,13.43,4,9,1,FALSE
17,3,45,200.67,20.9,1926.47,107.03,12,29,5,FALSE
35,5,123,679.4,39.29,11748.9,652.72,27,64,9,FALSE
19,3,54,247.59,24.76,2475.88,137.55,12,34,5,TRUE
27,4,110,534.38,28.5,10019.59,556.64,23,75,7,FALSE
84,22,445,2699.41,42.26,172435.02,9579.72,67,321,42,TRUE
10,3,0,0,0,0,0,0,0,5,FALSE
36,6,74,351.86,15.61,7932.88,440.72,27,43,11,TRUE
17,2,27,112.59,23.46,540.42,30.02,9,15,3,TRUE
63,24,155,807.47,24.51,26598.86,1477.71,57,99,47,TRUE
146,14,644,4138.51,72.48,236295.83,13127.55,129,350,27,FALSE
51,5,110,581.39,77.52,4360.46,242.25,34,60,9,TRUE
15,3,23,85.11,18.24,397.18,22.07,13,15,5,TRUE
32,5,101,490.66,31.78,7574.5,420.81,21,63,9,FALSE
72,8,275,1610.94,36.22,71639.66,3979.98,51,149,15,FALSE
17,3,32,133.44,16.42,1084.18,60.23,10,19,5,TRUE
12,5,35,151.27,10.8,2117.74,117.65,10,23,9,TRUE
19,2,56,249.73,20.81,2996.74,166.49,16,36,3,TRUE
9,17,0,0,0,0,0,0,0,33,FALSE
53,6,176,942.93,31.19,28502.18,1583.45,37,106,11,TRUE
470,27,1579,11964.76,258.56,553655.03,30758.61,329,903,53,TRUE
76,8,206,1117.81,50.34,24823.1,1379.06,67,114,15,FALSE
21,3,41,187.98,20.66,1710.65,95.04,14,28,5,TRUE
587,48,0,0,0,0,0,0,0,95,TRUE
35,3,64,310.91,28.35,3410.3,189.46,26,37,5,FALSE
30,4,137,724.1,35.2,14895.77,827.54,21,89,7,TRUE
4,1,9,27,13.5,54,3,2,5,1,FALSE
12,2,30,125.1,19.25,813.14,45.17,8,17,3,FALSE
12,3,34,153.8,20.14,1174.48,65.25,10,20,5,TRUE
129,16,0,0,0,0,0,0,0,28,TRUE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
14,3,55,272.48,19.68,3772.81,209.6,9,35,5,FALSE
49,4,201,1192.08,54.31,26167.57,1453.75,43,111,7,TRUE
136,12,430,2954.26,167.9,51980.15,2887.79,107,223,23,TRUE
12,6,0,0,0,0,0,0,0,11,FALSE
43,3,206,1137.85,36.98,35010.89,1945.05,34,126,5,FALSE
20,5,56,263.22,18.8,3685.14,204.73,11,32,9,FALSE
147,13,562,3666.24,96.91,138706.15,7705.9,104,335,25,FALSE
70,13,262,1507.78,31.53,72104.22,4005.79,61,162,25,FALSE
60,7,0,0,0,0,0,0,0,13,FALSE
21,3,0,0,0,0,0,0,0,5,FALSE
17,5,43,179.31,11.21,2868.91,159.38,14,27,9,FALSE
34,4,151,780.66,49.68,12267.49,681.53,28,107,7,TRUE
13,4,56,245.97,16.77,3607.56,200.42,10,34,7,FALSE
36,3,82,410,25.63,6560,364.44,23,50,5,FALSE
23,5,57,276.9,40.09,1912.37,106.24,21,40,6,TRUE
32,5,66,302.61,27.33,3350.3,186.13,25,35,9,TRUE
7,1,14,46.51,15.5,139.52,7.75,4,8,1,FALSE
78,18,189,969.43,19.75,47576.86,2643.16,52,131,35,FALSE
26,4,65,330.69,29.76,3674.28,204.13,18,40,5,FALSE
87,22,232,1359.05,56.13,32903.35,1827.96,69,140,43,TRUE
36,7,105,546.99,32.18,9298.87,516.6,23,70,13,FALSE
24,3,60,291.48,28.7,2960.33,164.46,18,35,5,FALSE
12,3,34,149.34,16.97,1314.18,73.01,9,18,5,FALSE
95,10,326,1917.74,69.36,53022.96,2945.72,80,233,17,TRUE
218,24,840,6180.34,119.1,320701.9,17816.77,157,471,47,TRUE
25,6,65,325,22.06,4788.33,266.02,22,39,11,TRUE
13,3,0,0,0,0,0,0,0,5,FALSE
100,25,423,2732.34,95.28,78353.86,4352.99,84,228,49,TRUE
7,1,14,46.51,15.5,139.52,7.75,4,10,1,FALSE
54,8,198,1099.81,28.05,43117.5,2395.42,43,129,15,TRUE
5,1,15,51.89,17.79,151.35,8.41,3,8,1,FALSE
20,3,45,203.56,25.2,1644.14,91.34,10,24,5,FALSE
8,1,15,53.77,12.8,225.85,12.55,4,9,1,FALSE
8,1,15,51.89,17.79,151.35,8.41,4,8,1,TRUE
54,5,147,802.54,39.83,16169.62,898.31,28,83,9,TRUE
67,9,108,524.66,28.11,9793.69,544.09,41,68,17,FALSE
19,4,51,236.84,28.71,1953.9,108.55,15,30,7,TRUE
214,13,485,3039.39,63.42,145652.41,8091.8,126,297,19,TRUE
15,2,30,120,20,720,40,11,18,3,FALSE
58,10,182,1047.39,43.96,24952.52,1386.25,50,101,19,TRUE
17,5,47,225.95,25.11,2033.51,112.97,14,29,9,TRUE
4,1,7,19.65,9.83,39.3,2.18,2,4,1,TRUE
12,2,27,116.69,17.29,787.67,43.76,7,18,3,FALSE
4,1,7,19.65,9.83,39.3,2.18,2,4,1,FALSE
41,7,174,1019.29,65.26,15920.32,884.46,35,92,13,TRUE
29,6,87,438.86,31.92,6034.36,335.24,23,54,11,FALSE
