add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,del_num_edges,del_sum_degree,ns,nd,entropy,contains_bug
27,46,1.7037,14,92,44,88,1,1,1.29273,TRUE
38,72,1.8947,16,144,53,106,2,2,1.15064,TRUE
20,35,1.75,14,70,35,70,1,1,1.43537,TRUE
22,33,1.5,10,66,33,66,1,1,0,TRUE
29,58,2,15,116,61,122,1,1,1.3942,TRUE
32,64,2,18,128,45,90,2,4,2.80334,TRUE
37,86,2.3243,18,172,73,146,1,1,0.225364,TRUE
22,34,1.5455,11,68,32,64,2,2,0.242292,TRUE
39,81,2.0769,16,162,25,50,2,2,1.06477,TRUE
26,42,1.6154,13,84,50,100,1,1,1.36601,TRUE
31,52,1.6774,17,104,52,104,1,1,0.918296,TRUE
38,78,2.0526,19,156,64,128,1,1,2.25773,TRUE
34,60,1.7647,15,120,24,48,2,2,1.61724,TRUE
48,131,2.7292,24,262,120,240,2,2,3.12688,TRUE
28,56,2,17,112,53,106,1,1,0.512709,TRUE
23,39,1.6957,16,78,41,82,2,2,0.961083,TRUE
47,103,2.1915,21,206,102,204,2,3,2.59765,TRUE
29,53,1.8276,17,106,53,106,1,2,2.48238,TRUE
42,100,2.381,19,200,58,116,3,3,2.77894,TRUE
25,45,1.8,16,90,45,90,1,1,1.42947,TRUE
29,51,1.7586,17,102,41,82,1,1,0,TRUE
14,20,1.4286,9,40,20,40,1,1,0,TRUE
34,66,1.9412,17,132,42,84,3,4,2.49777,TRUE
33,68,2.0606,18,136,63,126,1,1,2.7431,TRUE
38,89,2.3421,17,178,87,174,1,1,2.58177,TRUE
34,65,1.9118,16,130,42,84,1,1,1.89995,TRUE
30,60,2,17,120,60,120,1,1,1.90352,TRUE
33,61,1.8485,18,122,58,116,1,2,1.59578,TRUE
35,58,1.6571,19,116,49,98,1,1,1.87703,TRUE
49,116,2.3673,21,232,116,232,1,2,3.06702,TRUE
14,19,1.3571,10,38,19,38,1,1,0.503258,TRUE
28,49,1.75,14,98,43,86,1,1,2.24596,TRUE
24,44,1.8333,14,88,36,72,1,1,0,TRUE
33,56,1.697,17,112,56,112,1,1,1.29879,TRUE
23,35,1.5217,11,70,32,64,1,1,1,TRUE
32,73,2.2812,23,146,65,130,1,1,1.60045,TRUE
45,121,2.6889,27,242,114,228,2,2,2.65277,TRUE
18,28,1.5556,13,56,28,56,1,1,0.918296,TRUE
24,41,1.7083,18,82,41,82,1,1,1.37928,TRUE
47,116,2.4681,21,232,89,178,2,2,2.89845,TRUE
23,38,1.6522,14,76,36,72,1,1,0,TRUE
26,50,1.9231,19,100,56,112,1,1,1.94049,TRUE
38,74,1.9474,18,148,75,150,1,2,1.14376,TRUE
26,40,1.5385,12,80,43,86,1,1,0.391244,TRUE
46,118,2.5652,20,236,78,156,1,1,2.15101,TRUE
31,50,1.6129,19,100,48,96,1,2,0.0931713,TRUE
9,13,1.4444,7,26,13,26,1,1,0,TRUE
