add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_sum_degree,contains_bug
29,59,2.0345,2.0345,16,118,4.21,28,58,116,TRUE
22,45,2.0455,2.0455,15,90,4.29,22,45,90,TRUE
32,59,1.8438,1.8438,15,118,3.81,14,22,44,TRUE
37,84,2.2703,2.2703,19,168,4.67,33,69,138,TRUE
39,72,1.8462,1.8462,17,144,3.79,15,22,44,TRUE
33,58,1.7576,1.7576,15,116,3.87,28,45,90,TRUE
54,134,2.4815,2.4815,33,268,5.06,51,130,260,TRUE
33,67,2.0303,2.0303,18,134,4.19,33,67,134,TRUE
34,77,2.2647,2.2647,20,154,4.67,34,77,154,TRUE
36,84,2.3333,2.3333,20,168,4.8,36,84,168,TRUE
14,22,1.5714,1.5714,12,44,3.38,14,22,44,TRUE
15,23,1.5333,1.5333,10,46,3.29,15,23,46,TRUE
22,36,1.6364,1.6364,14,72,3.6,18,28,56,TRUE
47,109,2.3191,2.3191,30,218,4.84,39,90,180,TRUE
37,72,1.9459,1.9459,16,144,4,11,17,34,TRUE
37,80,2.1622,2.1622,19,160,4.44,36,77,154,TRUE
31,52,1.6774,1.6774,15,104,3.71,31,61,122,TRUE
34,75,2.2059,2.2059,18,150,4.55,31,68,136,TRUE
15,24,1.6,1.6,13,48,3.43,15,24,48,TRUE
34,75,2.2059,2.2059,19,150,4.55,28,57,114,TRUE
30,56,1.8667,1.8667,12,112,3.86,29,51,102,TRUE
25,39,1.56,1.56,14,78,3.25,25,39,78,TRUE
46,119,2.587,2.587,29,238,5.29,47,123,246,TRUE
36,66,1.8333,1.8333,17,132,3.77,14,22,44,TRUE
49,106,2.1633,2.1633,21,212,4.42,9,12,24,TRUE
19,29,1.5263,1.5263,13,58,3.22,19,30,60,TRUE
32,60,1.875,1.875,19,120,3.87,16,27,54,TRUE
33,71,2.1515,2.1515,16,142,4.44,33,71,142,TRUE
37,80,2.1622,2.1622,16,160,4.44,37,81,162,TRUE
32,56,1.75,1.75,15,112,3.61,29,51,102,TRUE
27,52,1.9259,1.9259,16,104,4,28,54,108,TRUE
20,34,1.7,1.7,12,68,3.58,21,36,72,TRUE
32,61,1.9062,1.9062,16,122,3.94,32,61,122,TRUE
18,28,1.5556,1.5556,11,56,3.29,18,28,56,TRUE
9,12,1.3333,1.3333,7,24,3,9,12,24,TRUE
14,24,1.7143,1.7143,12,48,3.69,14,24,48,TRUE
15,24,1.6,1.6,12,48,3.43,15,24,48,TRUE
38,78,2.0526,2.0526,19,156,4.22,38,83,166,TRUE
36,82,2.2778,2.2778,19,164,4.69,36,82,164,TRUE
29,57,1.9655,1.9655,16,114,4.07,29,57,114,TRUE
37,84,2.2703,2.2703,20,168,4.67,37,84,168,TRUE
44,104,2.3636,2.3636,23,208,4.84,44,104,208,TRUE
40,88,2.2,2.2,17,176,4.51,40,88,176,TRUE
38,82,2.1579,2.1579,19,164,4.43,38,82,164,TRUE
38,83,2.1842,2.1842,21,166,4.49,34,72,144,TRUE
31,62,2,2,17,124,4.13,28,58,116,TRUE
20,34,1.7,1.7,14,68,3.58,20,34,68,TRUE
37,70,1.8919,1.8919,16,140,3.89,11,17,34,TRUE
13,19,1.4615,1.4615,10,38,3.17,13,19,38,TRUE
28,51,1.8214,1.8214,18,102,3.78,28,48,96,TRUE
13,19,1.4615,1.4615,10,38,3.17,13,19,38,TRUE
45,104,2.3111,2.3111,22,208,4.73,40,88,176,TRUE
14,21,1.5,1.5,10,42,3.23,14,21,42,TRUE
23,39,1.6957,1.6957,14,78,3.55,23,40,80,TRUE
38,87,2.2895,2.2895,18,174,4.7,38,87,174,TRUE
55,129,2.3455,2.3455,27,258,4.78,48,110,220,TRUE
15,22,1.4667,1.4667,11,44,3.38,15,22,44,TRUE
34,74,2.1765,2.1765,21,148,4.48,33,70,140,TRUE
42,102,2.4286,2.4286,21,204,4.98,42,99,198,TRUE
