add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_edges,del_sum_degree,la,contains_bug
33,65,1.9697,1.9697,19,130,4.06,35,70,89,TRUE
33,67,2.0303,2.0303,19,134,4.19,63,126,110,TRUE
24,47,1.9583,1.9583,15,94,4.09,11,22,82,TRUE
41,90,2.1951,2.1951,19,180,4.74,87,174,140,TRUE
47,121,2.5745,2.5745,36,242,5.26,117,234,600,TRUE
18,28,1.5556,1.5556,12,56,3.29,30,60,3,TRUE
28,47,1.6786,1.6786,16,94,3.48,43,86,59,TRUE
27,47,1.7407,1.7407,16,94,3.62,44,88,31,TRUE
47,111,2.3617,2.3617,27,222,4.83,93,186,871,TRUE
28,55,1.9643,1.9643,17,110,4.23,50,100,108,TRUE
38,87,2.2895,2.2895,19,174,4.7,91,182,190,TRUE
35,67,1.9143,1.9143,21,134,3.94,66,132,63,TRUE
14,23,1.6429,1.6429,12,46,3.54,23,46,2,TRUE
37,73,1.973,1.973,18,146,4.06,71,142,97,TRUE
34,83,2.4412,2.4412,20,166,5.03,87,174,99,TRUE
47,116,2.4681,2.4681,27,232,5.04,104,208,893,TRUE
47,116,2.4681,2.4681,26,232,5.04,76,152,765,TRUE
44,105,2.3864,2.3864,26,210,4.88,98,196,265,TRUE
13,19,1.4615,1.4615,9,38,3.45,11,22,179,TRUE
45,107,2.3778,2.3778,23,214,4.86,33,66,816,TRUE
16,23,1.4375,1.4375,9,46,3.07,11,22,4,TRUE
47,113,2.4043,2.4043,24,226,4.91,83,166,1050,TRUE
43,113,2.6279,2.6279,34,226,5.38,123,246,193,TRUE
39,83,2.1282,2.1282,18,166,4.37,82,164,101,TRUE
18,23,1.2778,1.2778,8,46,2.71,15,30,338,TRUE
45,127,2.8222,2.8222,32,254,5.77,116,232,1638,TRUE
43,99,2.3023,2.3023,24,198,4.83,65,130,432,TRUE
45,114,2.5333,2.5333,30,228,5.18,100,200,337,TRUE
50,157,3.14,3.14,41,314,6.41,138,276,693,TRUE
43,111,2.5814,2.5814,25,222,5.29,97,194,315,TRUE
44,94,2.1364,2.1364,18,188,4.37,26,52,1985,TRUE
30,58,1.9333,1.9333,15,116,4,57,114,23,TRUE
35,70,2,2,16,140,4.12,70,140,136,TRUE
39,89,2.2821,2.2821,18,178,4.68,86,172,319,TRUE
23,39,1.6957,1.6957,14,78,3.71,54,108,19,TRUE
38,72,1.8947,1.8947,15,144,3.89,55,110,354,TRUE
44,105,2.3864,2.3864,23,210,4.88,81,162,583,TRUE
38,78,2.0526,2.0526,18,156,4.22,72,144,72,TRUE
38,91,2.3947,2.3947,23,182,4.92,90,180,225,TRUE
31,56,1.8065,1.8065,16,112,3.73,63,126,96,TRUE
49,123,2.5102,2.5102,32,246,5.12,103,206,485,TRUE
19,29,1.5263,1.5263,13,58,3.22,29,58,215,TRUE
27,56,2.0741,2.0741,14,112,4.31,11,22,23,TRUE
29,54,1.8621,1.8621,16,108,3.86,35,70,40,TRUE
31,60,1.9355,1.9355,15,120,4.14,52,104,47,TRUE
35,75,2.1429,2.1429,17,150,4.41,61,122,65,TRUE
36,86,2.3889,2.3889,18,172,4.91,92,184,201,TRUE
32,68,2.125,2.125,14,136,4.39,58,116,129,TRUE
37,76,2.0541,2.0541,21,152,4.22,78,156,276,TRUE
26,53,2.0385,2.0385,16,106,4.24,53,106,9,TRUE
49,107,2.1837,2.1837,21,214,4.46,32,64,1571,TRUE
26,42,1.6154,1.6154,16,84,3.36,34,68,38,TRUE
36,76,2.1111,2.1111,21,152,4.34,76,152,15,TRUE
28,53,1.8929,1.8929,15,106,3.93,42,84,34,TRUE
39,96,2.4615,2.4615,21,192,5.05,90,180,191,TRUE
41,95,2.3171,2.3171,19,190,4.75,84,168,544,TRUE
28,56,2,2,14,112,4.31,50,100,68,TRUE
23,41,1.7826,1.7826,15,82,3.73,40,80,5,TRUE
44,102,2.3182,2.3182,21,204,4.74,78,156,165,TRUE
35,77,2.2,2.2,18,154,4.53,56,112,408,TRUE
33,67,2.0303,2.0303,16,134,4.19,53,106,77,TRUE
23,41,1.7826,1.7826,15,82,3.73,43,86,53,TRUE
16,26,1.625,1.625,13,52,3.47,34,68,5,TRUE
37,87,2.3514,2.3514,24,174,4.83,85,170,283,TRUE
45,114,2.5333,2.5333,21,228,5.18,67,134,487,TRUE
53,147,2.7736,2.7736,36,294,5.65,53,106,1561,TRUE
23,38,1.6522,1.6522,13,76,3.45,34,68,31,TRUE
30,61,2.0333,2.0333,16,122,4.21,55,110,115,TRUE
36,88,2.4444,2.4444,21,176,5.03,83,166,188,TRUE
26,52,2,2,15,104,4.16,49,98,23,TRUE
39,75,1.9231,1.9231,15,150,3.95,31,62,279,TRUE
28,54,1.9286,1.9286,16,108,4,44,88,63,TRUE
34,77,2.2647,2.2647,22,154,4.67,76,152,34,TRUE
46,119,2.587,2.587,33,238,5.29,77,154,732,TRUE
36,82,2.2778,2.2778,18,164,4.69,84,168,75,TRUE
30,59,1.9667,1.9667,16,118,4.07,57,114,54,TRUE
40,87,2.175,2.175,19,174,4.46,20,40,116,TRUE
32,80,2.5,2.5,21,160,5.16,50,100,526,TRUE
19,29,1.5263,1.5263,12,58,3.22,25,50,265,TRUE
34,73,2.1471,2.1471,17,146,4.42,63,126,175,TRUE
48,144,3,3,40,288,6.13,120,240,528,TRUE
34,62,1.8235,1.8235,16,124,3.76,58,116,124,TRUE
18,28,1.5556,1.5556,12,56,3.5,11,22,82,TRUE
31,61,1.9677,1.9677,16,122,4.07,59,118,24,TRUE
31,68,2.1935,2.1935,15,136,4.53,67,134,59,TRUE
30,56,1.8667,1.8667,16,112,3.86,26,52,379,TRUE
29,58,2,2,17,116,4.14,57,114,27,TRUE
14,23,1.6429,1.6429,12,46,3.54,23,46,4,TRUE
29,52,1.7931,1.7931,13,104,3.71,56,112,10,TRUE
30,58,1.9333,1.9333,16,116,4,57,114,4,TRUE
23,44,1.913,1.913,14,88,4,45,90,13,TRUE
23,41,1.7826,1.7826,15,82,3.73,32,64,23,TRUE
41,93,2.2683,2.2683,20,186,4.65,81,162,150,TRUE
34,65,1.9118,1.9118,17,130,3.94,36,72,110,TRUE
36,66,1.8333,1.8333,16,132,3.77,46,92,50,TRUE
42,81,1.9286,1.9286,17,162,3.95,25,50,1635,TRUE
44,122,2.7727,2.7727,32,244,5.67,112,224,553,TRUE
28,57,2.0357,2.0357,17,114,4.22,41,82,51,TRUE
22,39,1.7727,1.7727,13,78,3.71,34,68,36,TRUE
11,18,1.6364,1.6364,8,36,3.6,12,24,96,TRUE
41,101,2.4634,2.4634,21,202,5.05,87,174,342,TRUE
