ns,ent,nrev,tcmt,rexp,oexp,rrexp,orexp,osexp,NAME OP NL,contains_bug
1,0.764204507,3,13,2050,2171,1827,1948,2010,0,1
1,0.721497377,2,14,2218,3297,2101,2987,2632,11,1
1,0.969605599,1,7,660,1120,642,1043,412,3,1
1,0.391243564,1,10,541,544,538,541,421,0,1
1,0.807981794,10,63,676,679,676,679,612,19,1
1,0,2,20,516,519,476,479,288,1,1
1,0.997772472,6,33,593,593,542,542,556,1,1
3,0.671223353,8,41,207,207,200,200,197,0,1
1,0.940285959,2,14,383,383,372,372,329,0,1
1,0.976020648,6,33,973,973,935,935,647,5,1
1,0.322756959,1,12,849,857,724,732,165,0,1
1,0.814445832,5,20,1435,1439,1196,1200,1245,6,1
1,0,1,6,1686,2375,1409,2084,2130,0,1
1,0,1,8,2039,2041,1779,1781,1898,0,1
1,0.970950594,2,17,1672,2944,1639,2667,2545,4,1
1,0.566509507,3,27,714,763,703,752,686,3,1
1,0,8,38,650,651,648,649,604,0,1
1,0,1,8,970,979,970,978,715,1,1
1,0.886527405,2,15,455,458,441,444,412,5,1
1,0.900818321,6,50,2120,2122,1833,1835,1900,1,1
1,0.570387306,8,34,442,469,393,420,318,0,1
1,0.106694446,4,17,983,1026,950,993,990,53,1
1,0,5,25,919,919,917,917,781,3,1
1,0.685312131,1,7,356,364,340,348,259,0,1
1,0.962900415,1,5,1056,1078,1023,1045,1035,6,1
1,0.821408528,6,44,662,662,649,649,554,24,1
1,0.890142662,8,71,367,372,364,369,4,0,1
1,0.510787823,10,37,1934,2610,1900,2543,1850,17,1
1,0.899393971,1,9,2136,2323,2024,2211,1938,20,1
2,0.56297055,5,21,267,314,221,262,304,13,1
1,0.700102353,1,14,831,864,828,849,743,6,1
1,0.960229718,1,5,595,930,577,912,827,0,1
1,0.629249224,5,26,672,673,667,668,461,2,1
1,0.938932011,3,11,822,826,805,809,743,6,1
1,0.367211089,52,299,1430,1432,1157,1159,1238,0,1
1,0.676812344,3,12,1217,1260,1176,1219,1169,16,1
1,0,2,17,1487,2094,1411,1988,1946,4,1
1,0.870069658,3,15,490,494,473,477,446,5,1
1,0,1,11,1779,2400,1583,2174,2262,1,1
1,0.554778163,3,13,2209,2242,2126,2158,1872,0,1
1,0.766269828,1,11,1839,1873,1765,1799,1750,7,1
1,0.708835673,1,9,2134,3237,1962,2827,2907,7,1
1,0.976020648,4,18,787,820,718,746,758,17,1
