0,1,2,3,4,5,6
8,15,336,339,8,323,1
4,7,114,105,8,97,0
6,10,237,187,7,247,1
2,2,41,21,8,155,0
3,6,136,63,7,72,1
1,2,48,4,7,33,1
2,3,127,48,8,125,1
8,15,336,339,8,323,1
6,10,250,232,7,269,1
1,1,0,321,8,80,0
2,2,12,1,7,7,1
2,4,37,23,7,237,1
1,1,9,19,8,2,1
1,2,24,2,7,53,1
2,2,12,1,7,7,1
2,3,21,15,7,120,1
7,15,275,210,8,158,1
1,1,16,7,6,9,0
4,4,32,4,7,212,1
2,3,21,15,7,120,1
2,4,37,23,7,237,1
1,1,27,23,8,2,0
1,1,2,1,8,37,0
2,3,11,7,8,53,0
2,2,31,11,6,18,0
1,2,3,3,7,168,0
8,17,563,471,8,450,1
2,3,124,47,8,124,1
2,2,6,13,8,27,0
1,2,3,3,7,41,0
2,2,12,1,7,7,1
4,5,85,24,8,243,1
5,6,1230,1173,8,23,1
1,3,62,20,8,116,0
1,2,6,6,1,2,0
1,1,27,23,8,2,0
8,15,336,339,8,323,1
1,1,2,0,7,81,0
3,4,5,144,0,0,0
1,1,72,78,8,25,0
2,3,21,15,7,120,1
1,2,48,4,7,33,1
1,1,53,17,8,3,1
1,1,1,1,8,4,0
1,1,14,5,6,7,1
1,1,31,30,8,4,0
3,6,136,63,7,72,1
1,1,53,17,8,3,1
1,1,5,2,8,6,0
1,1,4,3,8,88,0
1,2,24,2,7,53,1
1,1,4,0,7,77,0
2,2,33,6,8,222,0
1,1,8,6,7,14,0
2,2,53,40,8,90,0
1,1,9,19,8,2,1
2,4,37,23,7,237,1
1,1,12,0,8,13,0
7,13,312,309,7,308,1
1,1,5,1,8,8,0
6,6,37,24,7,304,0
1,2,2,4,8,83,0
1,1,12,2,6,7,1
5,11,75,43,7,214,0
10,21,410,355,8,574,1
10,21,410,355,8,574,1
8,15,336,339,8,323,1
1,1,18,0,8,6,0
1,1,0,32,6,12,0
2,2,9,11,8,97,0
2,2,16,4,8,18,0
2,4,37,23,7,237,1
4,4,32,4,7,211,1
8,22,313,257,8,514,1
1,1,2,2,7,95,0
1,1,15,13,7,6,0
4,5,85,24,8,243,1
2,5,105,33,8,189,0
1,2,173,0,1,0,0
2,3,21,15,7,120,1
2,2,20,3,8,129,0
1,1,1,1,7,84,0
3,6,136,63,7,72,1
3,3,10,4,8,130,0
2,2,4,1,8,108,0
13,41,402,805,8,750,0
1,1,1,1,8,96,0
1,1,5,3,7,76,0
3,3,1433,1385,8,21,1
9,24,437,379,8,395,0
1,2,24,2,7,53,1
1,1,6,0,8,1,0
1,1,53,17,8,3,1
1,1,4,0,7,24,0
3,4,34,12,7,222,1
7,15,275,210,8,158,1
2,3,113,47,8,122,1
10,14,827,751,8,29,1
1,2,25,2,7,51,1
1,2,13,19,7,38,0
8,11,224,136,8,224,1
2,2,8,2,8,53,0
8,22,313,257,8,514,1
10,21,410,355,8,574,1
8,15,336,339,8,323,1
1,1,67,69,8,13,0
3,3,1433,1385,8,21,1
2,3,14,23,8,8,0
8,21,342,286,8,532,1
1,1,51,14,7,9,1
3,6,136,63,7,72,1
2,2,36,49,8,93,0
1,2,3,3,7,164,0
1,1,3,0,8,26,0
7,15,275,210,8,158,1
10,14,827,751,8,29,1
8,17,563,471,8,450,1
2,2,12,1,7,7,1
4,4,21,32,8,159,0
1,3,62,20,8,116,0
1,1,1,1,7,73,0
2,3,113,47,8,122,1
10,14,827,751,8,29,1
2,3,113,47,8,122,1
2,3,21,15,7,120,1
3,6,136,63,7,72,1
1,2,3,3,7,168,0
2,4,87,45,8,83,0
1,1,14,5,7,45,0
1,1,5,1,7,18,0
1,1,2,2,7,15,0
2,2,12,1,7,7,1
2,3,127,48,8,125,1
1,1,9,19,8,2,1
1,1,16,11,6,11,0
12,34,5593,5629,8,666,0
2,2,6,13,8,27,0
1,1,1,1,8,136,0
2,3,11,7,8,53,0
1,1,2,2,7,15,0
2,4,37,23,7,237,1
2,4,130,54,7,101,1
1,1,5,2,8,6,0
1,2,24,2,7,53,1
2,4,37,23,7,237,1
2,5,105,33,8,189,0
1,2,38,3,7,40,1
7,15,275,210,8,158,1
1,2,3,3,7,172,0
1,2,30,21,8,112,0
1,1,9,19,8,2,1
8,22,313,257,8,514,1
5,6,71,19,8,176,0
7,15,275,210,8,158,1
3,6,136,63,7,72,1
1,2,24,2,7,53,1
1,1,5,0,8,7,0
1,1,53,17,8,3,1
2,2,20,3,8,129,0
2,2,33,6,8,222,0
2,3,231,243,8,12,0
8,16,574,482,8,432,1
3,3,1433,1385,8,21,1
2,3,113,47,8,122,1
1,2,48,4,7,33,1
1,1,2,2,7,89,0
3,4,5,144,0,0,0
1,1,1,1,8,16,0
1,1,1,1,7,84,0
2,4,260,0,1,0,0
1,2,3,3,7,170,0
1,1,16,8,6,8,1
1,1,14,5,6,7,1
1,1,16,41,8,23,0
7,10,231,162,7,236,1
4,5,85,24,8,243,1
3,6,136,63,7,72,1
7,15,275,210,8,158,1
8,15,336,339,8,323,1
3,6,136,63,7,72,1
1,1,4,0,7,24,0
2,2,16,4,8,18,0
1,1,5,0,7,8,0
1,1,5,1,8,8,0
4,5,85,24,8,243,1
2,3,127,48,8,125,1
1,1,53,17,8,3,1
2,2,38,54,8,13,0
2,2,8,2,7,90,0
1,1,16,8,6,8,1
1,1,16,8,6,8,1
2,3,231,243,8,12,0
3,3,1433,1385,8,21,1
2,2,25,11,6,16,0
1,1,5,2,8,6,0
2,3,127,48,8,125,1
2,3,7,8,8,243,0
9,9,322,323,9,220,0
1,1,12,4,7,16,0
2,3,21,15,7,120,1
1,1,12,1,6,7,1
1,3,62,20,8,116,0
1,2,6,6,1,2,0
2,3,127,48,8,125,1
1,1,11,12,8,106,0
1,2,3,3,7,166,0
1,1,1,1,7,96,0
3,3,1433,1385,8,21,1
8,22,313,257,8,514,1
1,2,3,3,7,164,0
2,3,113,47,8,122,1
2,3,127,48,8,125,1
1,2,10,3,8,154,0
8,12,924,852,8,27,1
1,2,2,2,7,160,0
6,10,250,232,7,269,1
1,1,83,83,8,39,0
2,3,19,22,8,15,0
1,1,7,32,7,4,0
8,15,336,339,8,323,1
1,1,5,0,8,7,0
2,3,113,47,8,122,1
10,21,410,355,8,574,1
1,1,13,1,7,129,0
9,21,380,325,8,555,1
2,2,9,11,8,97,0
2,3,113,47,8,122,1
2,2,8,2,7,90,0
2,3,127,48,8,125,1
10,14,827,751,8,29,1
1,1,0,321,8,80,0
10,14,827,751,8,29,1
2,2,4,1,8,108,0
2,4,37,23,7,237,1
1,1,6,0,8,1,0
3,3,1433,1385,8,21,1
8,22,313,257,8,514,1
1,1,8,1,7,44,0
7,15,275,210,8,158,1
7,10,233,170,7,240,1
10,14,827,751,8,29,1
1,1,15,6,8,11,0
1,1,50,9,7,20,1
1,1,1,1,8,96,0
2,2,13,10,8,39,0
2,2,8,2,7,90,0
1,1,4,0,7,77,0
2,2,16,4,8,18,0
1,1,12,2,6,7,1
1,1,2,2,7,95,0
2,3,14,11,8,149,0
2,3,7,8,8,243,0
1,2,3,3,7,41,0
3,3,1433,1385,8,21,1
13,41,402,805,8,750,0
6,10,250,232,7,269,1
1,2,24,2,7,53,1
3,3,1380,1330,8,21,1
7,10,235,177,7,243,1
1,2,2,4,8,83,0
1,1,13,4,6,7,1
2,2,41,21,8,155,0
1,1,3,1,6,9,0
4,5,85,24,8,243,1
3,6,136,63,7,72,1
2,4,260,0,1,0,0
2,2,41,21,8,155,0
1,2,3,3,7,164,0
8,22,313,257,8,514,1
2,3,21,15,7,120,1
2,3,113,47,8,122,1
10,14,827,751,8,29,1
1,1,31,14,8,1,0
1,2,48,4,7,33,1
3,3,1433,1385,8,21,1
8,11,224,136,8,224,1
1,1,4,3,8,88,0
1,1,3,3,7,32,0
2,3,113,47,8,122,1
8,15,336,339,8,323,1
8,22,313,257,8,514,1
10,14,827,751,8,29,1
2,3,14,11,8,149,0
12,34,5593,5629,8,666,0
8,15,336,339,8,323,1
1,1,8,6,7,14,0
2,2,36,49,8,93,0
8,21,353,297,8,538,1
8,17,563,471,8,450,1
1,2,13,19,7,38,0
1,2,3,3,7,164,0
1,1,9,19,8,2,1
10,14,827,751,8,29,1
1,1,16,8,6,8,1
2,4,68,14,7,95,1
1,1,72,78,8,25,0
1,1,13,3,6,7,1
1,1,2,1,8,37,0
1,1,2,2,8,40,0
1,1,12,0,8,13,0
1,1,15,13,7,6,0
1,1,4,5,8,143,0
1,1,16,8,6,8,1
1,1,50,10,7,18,1
10,21,410,355,8,574,1
1,1,27,23,8,2,0
2,3,19,22,8,15,0
6,10,250,232,7,269,1
4,5,85,24,8,243,1
1,1,67,69,8,13,0
1,1,11,12,8,106,0
10,14,827,751,8,29,1
1,1,4,5,8,143,0
2,3,113,47,8,122,1
2,2,8,6,8,11,0
2,2,13,10,8,39,0
2,4,70,21,8,87,0
8,22,313,257,8,514,1
3,3,10,4,8,130,0
2,2,8,2,8,53,0
1,1,0,32,6,12,0
8,22,313,257,8,514,1
5,11,231,168,8,242,0
3,6,119,24,8,271,0
10,21,410,355,8,574,1
6,10,250,232,7,269,1
1,2,3,3,7,172,0
1,1,4,14,8,3,0
5,5,32,3,7,210,1
1,2,2,4,8,83,0
2,3,21,15,7,120,1
1,1,4,0,8,38,0
3,4,43,1,8,241,0
8,8,331,18,8,193,0
5,11,231,168,8,242,0
8,11,224,136,8,224,1
8,8,331,18,8,193,0
3,6,0,0,7,6,0
2,2,4,1,8,108,0
8,17,563,471,8,450,1
4,5,85,24,8,243,1
1,1,0,321,8,80,0
2,3,113,47,8,122,1
1,2,173,0,1,0,0
6,13,176,60,8,278,0
3,4,43,1,8,241,0
1,1,4,0,8,38,0
2,3,19,22,8,15,0
1,1,15,3,7,33,0
1,1,49,6,7,26,1
2,2,28,6,8,53,0
1,1,67,69,8,13,0
2,3,127,48,8,125,1
1,1,4,0,7,77,0
1,2,18,12,8,30,0
1,1,11,4,8,146,0
1,1,18,0,8,6,0
8,15,336,339,8,323,1
1,1,16,8,6,8,1
1,2,24,2,7,53,1
3,3,1433,1385,8,21,1
2,3,11,7,8,53,0
3,3,1433,1385,8,21,1
3,6,0,0,7,6,0
8,11,224,136,8,224,1
2,4,70,21,8,87,0
6,10,250,232,7,269,1
1,1,5,0,7,8,0
5,11,231,168,8,242,0
2,3,231,243,8,12,0
2,4,68,14,7,95,1
1,1,381,0,1,0,0
2,2,8,3,8,168,0
1,1,16,8,6,8,1
2,5,105,33,8,189,0
6,10,250,232,7,269,1
1,1,12,0,8,13,0
1,1,8,6,7,14,0
8,17,563,471,8,450,1
10,14,827,751,8,29,1
1,1,2,2,7,89,0
3,3,10,4,8,130,0
1,1,53,17,8,3,1
8,15,336,339,8,323,1
1,1,1,1,8,136,0
1,1,16,8,6,8,1
1,1,7,32,7,4,0
6,10,250,232,7,269,1
2,3,127,48,8,125,1
1,1,0,321,8,80,0
1,1,11,4,8,146,0
1,1,16,8,6,8,1
6,10,250,232,7,269,1
1,1,13,1,7,129,0
3,3,70,1,8,234,0
10,14,827,751,8,29,1
3,3,108,23,8,17,0
2,2,36,49,8,93,0
9,14,739,657,8,169,1
8,11,224,136,8,224,1
1,1,11,4,8,146,0
1,1,4,1,7,17,0
1,2,3,3,7,164,0
1,1,0,5,8,38,0
8,15,336,339,8,323,1
3,6,119,24,8,271,0
3,3,70,1,8,234,0
1,1,31,30,8,4,0
8,22,313,257,8,514,1
1,1,16,8,6,8,1
2,3,127,48,8,125,1
1,2,3,3,7,170,0
2,2,8,3,8,168,0
2,4,37,23,7,237,1
2,4,87,45,8,83,0
1,2,6,6,1,2,0
1,1,1,1,8,16,0
3,3,1433,1385,8,21,1
2,4,68,14,7,95,1
1,2,2,2,7,160,0
2,4,68,14,7,95,1
2,3,122,47,8,123,1
6,10,250,232,7,269,1
1,1,1,1,7,1,0
1,1,14,6,6,7,1
2,3,113,47,8,122,1
2,4,37,23,7,237,1
1,1,8,1,7,44,0
3,3,70,1,8,234,0
2,4,70,21,8,87,0
2,3,118,47,8,123,1
2,5,135,62,7,74,1
10,14,827,751,8,29,1
3,3,70,1,8,234,0
10,14,827,751,8,29,1
1,1,13,2,7,31,0
2,4,260,0,1,0,0
5,5,32,3,7,210,1
2,3,21,15,7,120,1
1,2,2,4,8,83,0
2,5,105,33,8,189,0
7,10,234,174,7,242,1
1,1,16,41,8,23,0
8,17,563,471,8,450,1
1,1,8,5,8,37,0
2,3,231,243,8,12,0
1,1,18,0,8,6,0
1,1,0,3,7,4,0
1,1,1,1,7,73,0
4,4,21,32,8,159,0
2,4,37,23,7,237,1
2,3,117,47,8,122,1
1,1,15,3,7,33,0
1,2,30,21,8,112,0
1,1,31,30,8,4,0
2,2,48,15,8,104,0
2,4,37,23,7,237,1
1,1,5,1,7,18,0
1,1,8,5,8,37,0
7,15,275,210,8,158,1
1,3,62,20,8,116,0
6,10,250,232,7,269,1
1,1,3,0,8,26,0
8,22,313,257,8,514,1
1,1,9,1,8,12,0
8,17,563,471,8,450,1
8,11,224,136,8,224,1
2,2,12,1,7,7,1
3,3,1433,1385,8,21,1
2,3,122,47,8,124,1
1,1,16,8,6,8,1
3,4,62,23,7,240,1
1,1,1,1,7,96,0
1,1,16,8,6,8,1
1,1,15,6,8,11,0
8,15,336,339,8,323,1
3,4,34,39,8,67,0
2,3,127,48,8,125,1
1,1,381,0,1,0,0
8,17,563,471,8,450,1
5,5,32,3,7,210,1
2,3,127,48,8,125,1
1,1,4,1,7,17,0
7,15,275,210,8,158,1
12,34,5593,5629,8,666,0
10,21,410,355,8,574,1
8,17,563,471,8,450,1
1,2,24,2,7,53,1
1,1,0,5,8,38,0
2,3,113,47,8,122,1
6,10,252,234,7,270,1
2,3,127,48,8,125,1
10,21,410,355,8,574,1
1,1,7,5,7,27,0
2,3,14,11,8,149,0
1,2,48,4,7,33,1
10,14,827,751,8,29,1
2,3,21,15,7,120,1
11,12,84,104,8,444,0
9,15,699,615,8,233,1
2,3,48,14,7,105,1
2,2,41,21,8,155,0
1,2,3,3,7,168,0
1,1,2,0,7,81,0
3,6,136,63,7,72,1
1,1,11,2,8,10,0
7,15,275,210,8,158,1
1,2,24,2,7,53,1
1,1,3,1,6,9,0
1,1,53,17,8,3,1
6,10,250,232,7,269,1
2,4,70,21,8,87,0
2,3,113,47,8,122,1
1,1,11,2,8,10,0
8,17,525,442,8,480,1
1,1,11,12,8,106,0
10,14,827,751,8,29,1
3,3,1433,1385,8,21,1
1,1,16,11,6,11,0
9,9,322,323,9,220,0
1,1,53,51,8,4,0
2,3,127,48,8,125,1
1,1,15,13,7,6,0
6,10,237,185,7,247,1
5,6,114,172,8,345,0
5,5,32,3,7,210,1
10,21,410,355,8,574,1
8,22,313,257,8,514,1
4,5,85,24,8,243,1
2,2,13,10,8,39,0
1,1,4,3,8,88,0
1,1,1,1,7,84,0
2,3,127,48,8,125,1
1,1,9,19,8,2,1
5,6,114,172,8,345,0
2,3,127,48,8,125,1
8,11,224,136,8,224,1
3,3,108,23,8,17,0
9,21,394,339,8,564,1
1,1,5,2,8,6,0
1,1,16,41,8,23,0
4,7,114,105,8,97,0
2,2,31,11,6,18,0
1,1,15,13,7,6,0
1,2,12,3,8,139,0
1,2,3,3,7,41,0
9,20,433,373,8,554,1
6,10,250,232,7,269,1
3,3,1433,1385,8,21,1
3,6,136,63,7,72,1
1,1,1,1,7,96,0
8,17,563,471,8,450,1
8,17,563,471,8,450,1
2,3,14,23,8,8,0
1,1,1,1,8,96,0
2,4,130,53,7,106,1
1,1,2,2,7,95,0
1,2,3,3,7,166,0
9,9,322,323,9,220,0
1,1,10,5,8,4,0
2,2,6,13,8,27,0
3,4,34,39,8,67,0
10,21,410,355,8,574,1
2,4,37,23,7,237,1
2,3,113,47,8,122,1
2,2,16,4,8,18,0
3,3,1433,1385,8,21,1
1,1,3,0,7,71,0
1,1,8,5,8,37,0
1,1,31,0,6,13,0
1,1,13,4,6,7,1
2,4,36,22,7,236,1
3,4,5,144,0,0,0
1,1,10,2,7,8,0
2,3,114,47,8,122,1
1,1,14,5,7,45,0
1,1,4,1,7,17,0
1,1,381,0,1,0,0
2,3,127,48,8,125,1
2,2,25,11,6,16,0
1,1,1,1,7,1,0
8,17,563,471,8,450,1
6,10,250,232,7,269,1
1,1,31,30,8,4,0
5,5,32,3,7,210,1
8,22,313,257,8,514,1
9,21,390,335,8,562,1
2,2,8,2,8,53,0
8,11,224,136,8,224,1
2,3,14,23,8,8,0
1,2,2,2,7,160,0
1,1,9,19,8,2,1
1,1,1,1,7,1,0
3,6,136,63,7,72,1
8,11,224,136,8,224,1
1,2,38,3,7,41,1
3,6,136,63,7,72,1
5,11,75,43,7,214,0
2,2,6,13,8,27,0
10,21,410,355,8,574,1
2,3,113,47,8,122,1
1,1,16,7,6,9,0
4,5,85,24,8,243,1
4,5,85,24,8,243,1
1,1,9,19,8,2,1
1,1,9,1,8,12,0
2,3,113,47,8,122,1
1,1,9,19,8,2,1
1,1,0,32,6,12,0
2,3,7,8,8,243,0
4,4,21,32,8,159,0
2,5,134,60,7,79,1
2,2,33,6,8,222,0
1,1,12,4,7,16,0
1,1,3,0,8,26,0
1,1,16,7,6,9,0
3,4,43,1,8,241,0
2,2,48,15,8,104,0
6,10,250,232,7,269,1
1,1,11,12,8,106,0
2,2,28,6,8,53,0
6,10,250,232,7,269,1
8,11,224,136,8,224,1
1,1,9,1,8,12,0
8,11,224,136,8,224,1
3,3,1433,1385,8,21,1
1,2,10,3,8,154,0
4,4,21,32,8,159,0
8,11,224,136,8,224,1
1,2,2,2,7,160,0
1,1,11,14,7,4,1
1,2,48,4,7,33,1
5,5,32,3,7,210,1
7,15,275,210,8,158,1
4,5,85,24,8,243,1
7,15,275,210,8,158,1
1,1,9,19,8,2,1
1,2,18,12,8,30,0
5,5,32,3,7,210,1
2,3,14,23,8,8,0
1,2,3,3,7,168,0
1,1,53,17,8,3,1
1,1,12,0,8,13,0
3,3,1433,1385,8,21,1
8,22,313,257,8,514,1
1,1,0,32,6,12,0
1,1,53,17,8,3,1
1,1,53,51,8,4,0
2,4,87,45,8,83,0
2,3,19,22,8,15,0
7,13,256,183,8,181,1
1,1,5,0,8,7,0
3,4,34,11,7,221,1
1,1,15,3,7,33,0
3,3,1433,1385,8,21,1
1,1,8,1,7,44,0
7,9,1071,1006,8,25,1
1,2,3,3,7,172,0
1,1,0,3,7,4,0
8,22,313,257,8,514,1
2,2,8,3,8,168,0
1,1,13,2,7,31,0
2,4,37,23,7,237,1
8,17,563,471,8,450,1
2,2,13,10,8,39,0
8,22,313,257,8,514,1
1,1,4,0,8,38,0
8,17,563,471,8,450,1
1,1,1,1,8,136,0
4,5,85,24,8,243,1
2,2,53,40,8,90,0
1,1,72,78,8,25,0
10,21,410,355,8,574,1
1,1,7,5,7,27,0
2,3,127,48,8,125,1
2,2,53,40,8,90,0
6,10,239,194,7,251,1
3,6,136,63,7,72,1
4,5,85,24,8,243,1
1,1,8,6,7,14,0
1,1,12,0,8,13,0
6,10,257,241,7,273,1
8,17,563,471,8,450,1
1,1,53,17,8,3,1
2,3,127,48,8,125,1
1,1,15,6,8,11,0
1,1,16,7,6,9,0
3,6,119,24,8,271,0
1,1,31,14,8,1,0
7,15,275,210,8,158,1
2,3,127,48,8,125,1
1,1,1,1,8,96,0
1,2,30,21,8,112,0
2,2,8,3,8,168,0
7,15,275,210,8,158,1
1,2,10,3,8,154,0
