ent,nrev,tcmt,age,oexp,argument_list if condition,if condition expr,name if condition,condition expr operator,operator if condition,contains_bug
0,2,6,2063660,40,0,0,0,0,0,1
0.794387568,21,78,1295313.8,1931,0,0,0,0,0,1
0.786432255,2,10,2096087.5,1896,1,56,3,17,3,1
0.611016975,5,27,423053.25,1350,0,9,4,3,2,1
0,2,7,2527475,377,0,39,12,12,12,1
0.844428429,22,62,2854.166667,941,0,0,0,0,0,1
0,1,5,3905955,1990,0,0,0,0,0,1
0,2,12,410873,744,1,18,7,6,9,1
0,1,7,4303540,171,0,0,0,0,0,1
0.822655864,19,130,439427.6364,538,1,31,9,6,6,1
0,2,6,397559,1185,0,4,1,1,1,1
0,3,16,66037,3819,0,0,0,0,0,1
0,3,13,600885,1146,0,0,0,3,0,1
0.863120569,2,9,301500,303,2,84,10,16,9,1
0,2,14,1638656,1255,0,48,6,21,8,1
0,3,15,7264536,980,0,0,0,0,0,1
0.540454457,8,64,376.2105263,476,9,191,37,40,24,1
0.322756959,2,9,6779075,2295,1,24,1,7,1,1
0.642102762,3,31,2893183.267,186,3,73,7,20,6,1
0.782148008,5,31,1013379.833,262,2,70,11,14,9,1
0,3,10,16597,1526,0,0,0,0,0,1
0,1,3,4453,1850,0,0,0,0,0,1
0.710025635,50,161,82860.62069,781,0,530,16,145,6,1
0,4,24,175031,450,0,0,0,0,0,1
0,2,4,445912,150,0,58,3,14,2,1
0.918295834,1,14,688520,1094,0,0,0,0,0,1
0.543564443,2,6,703222,2239,5,24,11,6,8,1
0.847250563,5,22,551578,1152,0,10,3,3,2,1
0,5,19,1953795,1991,0,0,0,0,0,1
0,1,3,20541,1815,1,9,3,3,3,1
0.212242849,2,16,1051954,1296,1,58,5,21,6,1
0,2,20,1590165,1988,0,0,0,0,0,1
0.122564605,6,30,1225856,1927,2,37,17,10,7,1
0.787257051,5,24,1028151.667,2362,0,0,0,0,0,1
0.578794625,5,24,497640,1844,1,1,0,0,0,1
0,1,8,1737960,1930,2,12,4,3,5,1
0,1,3,92996,1572,2,11,6,2,2,1
0.820903389,3,19,385744,1689,3,22,9,5,9,1
0.81839459,6,21,1561152,1174,0,0,0,0,0,1
0.638459841,1,6,1162598.6,1369,0,15,0,5,0,1
0.989205015,10,35,305678,1744,0,0,0,0,0,1
0.852792488,4,52,470018,3741,0,0,0,0,0,1
0.484711703,4,33,236028,1918,14,66,19,7,12,1
0.845477238,3,20,683881.2727,3571,0,0,0,0,0,1
0.514763868,1,10,271852,1826,2,55,33,13,20,1
0,3,23,1279115,2750,1,29,3,6,3,1
0.405949609,1,6,1114543.667,1914,4,33,18,1,9,1
0.872161788,8,41,3103832,829,0,23,1,13,2,1
0,1,5,102005,1919,4,27,13,4,10,1
0.438415571,14,54,186937.5,1899,1,3,1,0,0,1
0.749257316,15,73,761460.3333,194,0,130,3,44,2,1
0.668011567,14,58,8630.1,1907,1,153,48,57,39,1
0,1,7,3475063,519,0,0,0,0,0,1
0.653085326,1,4,796,1330,1,61,22,8,20,1
0.848522342,2,14,1049390.6,579,1,46,2,10,2,1
0.439496987,2,7,1539374.5,2413,0,0,0,0,0,1
0,3,22,4071972,1808,1,10,5,1,3,1
0.544787471,13,58,594928.75,1927,0,3,1,0,0,1
0.783799871,4,20,255665.6,490,0,152,0,38,0,1
0,2,16,3277287,2553,0,0,0,0,0,1
0.880345627,1,18,89374,604,1,32,9,6,8,1
0.870932832,6,35,849090.1667,3087,5,12,10,2,6,1
0,2,19,4760252,2287,0,12,7,4,5,1
0,2,12,1576861,1605,1,18,8,8,9,1
1,1,19,735603,1437,0,0,0,0,0,1
0.831106858,10,61,2781813,2179,0,0,0,0,0,1
0.322756959,2,16,2517003,1715,0,6,2,0,1,1
0.78677869,6,58,2617124.667,1087,0,0,0,3,0,1
0.763664518,10,57,716247.5714,1077,0,4,2,1,1,1
0,1,19,5022094,2486,0,7,3,3,3,1
0,1,15,2186482,1465,0,0,0,0,0,1
0.673293483,6,48,333994.4444,1563,0,0,0,0,0,1
0,2,29,6352787,3311,0,0,0,0,0,1
0.766774242,1,36,178646,1487,1,7,3,1,2,1
0,1,19,3647859,2084,0,0,0,0,0,1
0.382057027,1,15,1301235.5,467,0,11,6,1,4,1
0.471544947,2,24,3807661.438,1422,0,328,0,117,0,1
0,1,16,869959,1336,1,12,1,4,1,1
0,5,58,23338,2099,0,0,0,0,0,1
0.737226136,24,97,690121.6,1496,1,76,29,17,26,1
0.751059999,4,18,2222897.769,2293,0,17,11,4,6,1
0.659572891,2,26,7861,2575,0,23,10,6,7,1
0.899507835,2,12,323599,1800,2,59,5,14,6,1
0,1,19,1038626,2465,1,64,24,22,24,1
0.787126586,6,23,505927.5,594,0,10,4,2,4,1
0.782246773,1,11,224383,595,0,44,0,11,0,1
0,1,11,1141,2313,0,0,0,0,0,1
0,1,4,432554,1358,0,16,1,7,2,1
0.79014186,7,55,2842384.2,733,3,18,6,2,4,1
0.305277455,6,43,517654.805,1143,8,213,25,64,21,1
0,1,16,2153071,484,0,0,0,0,0,1
0.806581531,41,131,440512.5,714,1,45,7,6,2,1
0.971562177,2,21,1434337,519,0,48,8,13,8,1
0.548527022,13,53,627176.8,901,0,0,0,0,0,1
0.918295834,2,14,80912,522,3,56,8,20,10,1
0,1,10,1300001,483,1,6,2,1,2,1
