add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes,contains_bug
34,61,1.7941,1.7941,13,122,3,3,1,34,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
16,22,1.375,1.375,8,44,2,2,1,13,TRUE
25,43,1.72,1.72,11,86,3,3,1,14,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
24,36,1.5,1.5,8,72,3,2,1,23,TRUE
14,24,1.7143,1.7143,9,48,3,2,1,0,TRUE
18,36,2,2,10,72,4,3,1,20,TRUE
19,34,1.7895,1.7895,10,68,3,3,2,20,TRUE
12,19,1.5833,1.5833,9,38,3,2,1,9,TRUE
20,37,1.85,1.85,11,74,3,3,1,21,TRUE
34,60,1.7647,1.7647,14,120,3,2,1,36,TRUE
13,17,1.3077,1.3077,5,34,2,2,0,12,TRUE
15,21,1.4,1.4,7,42,2,2,1,0,TRUE
34,59,1.7353,1.7353,16,118,3,2,1,29,TRUE
25,41,1.64,1.64,11,82,3,2,1,24,TRUE
21,32,1.5238,1.5238,8,64,3,2,1,14,TRUE
16,22,1.375,1.375,7,44,2,2,1,0,TRUE
9,13,1.4444,1.4444,6,26,2,2,1,11,TRUE
7,7,1,1,4,14,2,1,1,16,TRUE
22,34,1.5455,1.5455,8,68,3,2,1,14,TRUE
29,49,1.6897,1.6897,13,98,3,2,1,14,TRUE
12,15,1.25,1.25,6,30,2,2,1,6,TRUE
20,28,1.4,1.4,8,56,2,2,1,19,TRUE
9,11,1.2222,1.2222,6,22,2,2,1,23,TRUE
14,24,1.7143,1.7143,9,48,3,2,1,0,TRUE
3,2,0.6667,0.6667,2,4,1,1,0,3,TRUE
17,23,1.3529,1.3529,7,46,2,2,1,0,TRUE
24,34,1.4167,1.4167,9,68,2,2,1,18,TRUE
33,72,2.1818,2.1818,16,144,4,3,1,29,TRUE
13,14,1.0769,1.0769,5,28,2,2,0,0,TRUE
28,50,1.7857,1.7857,10,100,3,3,1,33,TRUE
23,32,1.3913,1.3913,9,64,2,2,1,8,TRUE
19,25,1.3158,1.3158,7,50,2,2,1,11,TRUE
8,10,1.25,1.25,5,20,2,2,1,8,TRUE
20,28,1.4,1.4,8,56,2,2,1,8,TRUE
13,17,1.3077,1.3077,7,34,2,2,1,4,TRUE
14,20,1.4286,1.4286,8,40,2,2,1,3,TRUE
10,13,1.3,1.3,6,26,2,2,1,0,TRUE
11,14,1.2727,1.2727,5,28,2,2,1,7,TRUE
12,17,1.4167,1.4167,6,34,2,2,1,7,TRUE
23,36,1.5652,1.5652,9,72,3,2,1,15,TRUE
23,36,1.5652,1.5652,8,72,3,3,1,25,TRUE
31,59,1.9032,1.9032,16,118,3,3,1,10,TRUE
33,63,1.9091,1.9091,13,126,3,3,1,25,TRUE
27,46,1.7037,1.7037,10,92,3,3,1,21,TRUE
28,46,1.6429,1.6429,11,92,3,3,1,22,TRUE
13,16,1.2308,1.2308,6,32,2,2,1,19,TRUE
44,95,2.1591,2.1591,23,190,4,3,1,44,TRUE
15,20,1.3333,1.3333,7,40,2,2,1,8,TRUE
11,11,1,1,4,22,2,2,0,14,TRUE
6,4,0.6667,0.6667,3,8,1,1,0,6,TRUE
22,38,1.7273,1.7273,11,76,3,3,1,20,TRUE
33,63,1.9091,1.9091,13,126,3,3,1,31,TRUE
10,13,1.3,1.3,7,26,2,2,1,4,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
37,80,2.1622,2.1622,17,160,4,3,1,20,TRUE
18,25,1.3889,1.3889,8,50,2,2,1,25,TRUE
23,32,1.3913,1.3913,9,64,2,2,1,21,TRUE
13,17,1.3077,1.3077,7,34,2,2,1,15,TRUE
27,46,1.7037,1.7037,10,92,3,3,1,23,TRUE
9,10,1.1111,1.1111,5,20,2,2,1,17,TRUE
20,33,1.65,1.65,12,66,3,2,1,21,TRUE
11,14,1.2727,1.2727,5,28,2,2,1,11,TRUE
18,23,1.2778,1.2778,8,46,2,2,1,0,TRUE
9,11,1.2222,1.2222,5,22,2,2,1,10,TRUE
18,27,1.5,1.5,8,54,3,2,1,17,TRUE
33,67,2.0303,2.0303,13,134,4,3,1,26,TRUE
23,35,1.5217,1.5217,9,70,3,2,1,0,TRUE
12,17,1.4167,1.4167,7,34,2,2,1,7,TRUE
27,43,1.5926,1.5926,10,86,3,2,1,20,TRUE
6,6,1,1,4,12,2,1,1,0,TRUE
5,4,0.8,0.8,4,8,1,1,0,5,TRUE
19,28,1.4737,1.4737,8,56,2,2,1,9,TRUE
9,12,1.3333,1.3333,7,24,2,2,1,19,TRUE
20,30,1.5,1.5,8,60,3,2,1,26,TRUE
12,17,1.4167,1.4167,7,34,2,2,1,12,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
30,55,1.8333,1.8333,13,110,3,3,1,25,TRUE
18,27,1.5,1.5,8,54,3,2,1,0,TRUE
39,87,2.2308,2.2308,17,174,4,3,1,27,TRUE
25,42,1.68,1.68,9,84,3,2,1,20,TRUE
31,54,1.7419,1.7419,11,108,3,3,1,24,TRUE
34,61,1.7941,1.7941,15,122,3,3,1,31,TRUE
29,47,1.6207,1.6207,14,94,3,2,1,25,TRUE
26,42,1.6154,1.6154,12,84,3,3,1,25,TRUE
23,35,1.5217,1.5217,9,70,3,2,1,20,TRUE
13,20,1.5385,1.5385,8,40,3,2,1,7,TRUE
30,53,1.7667,1.7667,11,106,3,2,1,15,TRUE
11,16,1.4545,1.4545,9,32,2,2,1,6,TRUE
11,14,1.2727,1.2727,5,28,2,2,1,11,TRUE
30,53,1.7667,1.7667,14,106,3,3,1,18,TRUE
13,16,1.2308,1.2308,6,32,2,2,1,11,TRUE
26,41,1.5769,1.5769,9,82,3,2,1,17,TRUE
34,66,1.9412,1.9412,15,132,4,3,1,15,TRUE
27,45,1.6667,1.6667,9,90,3,3,1,15,TRUE
13,18,1.3846,1.3846,7,36,2,2,1,13,TRUE
20,29,1.45,1.45,9,58,2,2,1,3,TRUE
20,27,1.35,1.35,8,54,2,2,1,13,TRUE
