contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree
True,7,6,0.8571,0.8571,4,12,1,7,7,6
True,5,4,0.8,0.8,3,8,1,0,0,0
True,28,53,1.8929,1.8929,15,106,3,21,34,12
True,38,81,2.1316,2.1316,17,162,4,28,49,14
True,35,80,2.2857,2.2857,23,160,4,22,42,13
True,13,16,1.2308,1.2308,8,32,2,28,57,14
True,0,0,0.0,0.0,0,0,0,0,0,0
True,22,36,1.6364,1.6364,12,72,3,26,42,13
True,23,34,1.4783,1.4783,11,68,3,0,0,0
True,29,51,1.7586,1.7586,16,102,3,13,18,7
True,33,71,2.1515,2.1515,14,142,4,26,52,13
True,31,60,1.9355,1.9355,16,120,3,29,58,14
True,26,43,1.6538,1.6538,10,86,3,9,12,7
True,23,32,1.3913,1.3913,10,64,2,20,27,10
True,30,58,1.9333,1.9333,13,116,3,31,58,13
True,24,34,1.4167,1.4167,11,68,2,25,34,10
True,43,94,2.186,2.186,19,188,4,41,91,16
True,15,23,1.5333,1.5333,8,46,3,15,21,7
True,35,63,1.8,1.8,13,126,3,31,54,13
True,35,73,2.0857,2.0857,14,146,4,53,120,31
True,36,64,1.7778,1.7778,15,128,3,0,0,0
True,21,35,1.6667,1.6667,11,70,3,20,33,11
True,0,0,0.0,0.0,0,0,0,0,0,0
True,23,32,1.3913,1.3913,11,64,2,34,63,14
True,21,31,1.4762,1.4762,8,62,2,16,21,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,8,10,1.25,1.25,6,20,2,8,10,6
True,12,17,1.4167,1.4167,7,34,2,18,24,8
True,8,12,1.5,1.5,7,24,3,3,3,4
True,35,74,2.1143,2.1143,14,148,4,17,25,10
True,25,43,1.72,1.72,11,86,3,26,46,11
True,30,50,1.6667,1.6667,11,100,3,29,50,11
True,28,52,1.8571,1.8571,11,104,3,35,69,12
True,28,46,1.6429,1.6429,12,92,3,22,35,11
True,25,46,1.84,1.84,18,92,3,24,46,17
True,34,64,1.8824,1.8824,12,128,3,17,25,8
True,34,82,2.4118,2.4118,17,164,4,40,102,21
True,30,49,1.6333,1.6333,11,98,3,24,38,9
True,46,120,2.6087,2.6087,24,240,5,49,139,38
True,19,29,1.5263,1.5263,9,58,3,21,33,8
True,41,95,2.3171,2.3171,24,190,4,31,68,18
True,19,30,1.5789,1.5789,10,60,3,19,27,10
True,28,47,1.6786,1.6786,11,94,3,21,34,9
True,8,8,1.0,1.0,4,16,2,8,8,4
True,40,105,2.625,2.625,25,210,5,37,89,22
True,51,129,2.5294,2.5294,25,258,5,53,144,36
True,26,48,1.8462,1.8462,11,96,3,26,47,12
True,27,42,1.5556,1.5556,12,84,3,8,11,6
True,19,23,1.2105,1.2105,8,46,2,0,0,0
True,27,55,2.037,2.037,17,110,4,19,31,16
True,18,28,1.5556,1.5556,10,56,3,16,28,9
True,31,63,2.0323,2.0323,17,126,4,27,47,12
True,19,23,1.2105,1.2105,8,46,2,0,0,0
True,25,45,1.8,1.8,13,90,3,25,45,13
True,39,76,1.9487,1.9487,16,152,3,33,63,17
True,36,59,1.6389,1.6389,12,118,3,25,34,10
True,18,28,1.5556,1.5556,8,56,3,18,28,8
True,5,8,1.6,1.6,6,16,3,5,8,6
True,22,36,1.6364,1.6364,9,72,3,20,31,9
True,26,46,1.7692,1.7692,13,92,3,43,88,18
True,0,0,0.0,0.0,0,0,0,0,0,0
True,19,28,1.4737,1.4737,8,56,2,14,20,7
True,22,35,1.5909,1.5909,11,70,3,36,73,16
True,34,73,2.1471,2.1471,15,146,4,38,83,15
True,12,12,1.0,1.0,4,24,2,8,7,4
True,0,0,0.0,0.0,0,0,0,0,0,0
True,11,10,0.9091,0.9091,4,20,2,0,0,0
True,15,23,1.5333,1.5333,10,46,3,17,23,8
True,29,63,2.1724,2.1724,18,126,4,31,67,16
True,28,45,1.6071,1.6071,10,90,3,0,0,0
True,20,28,1.4,1.4,8,56,2,8,9,4
True,32,54,1.6875,1.6875,11,108,3,0,0,0
True,29,54,1.8621,1.8621,14,108,3,22,39,11
True,36,69,1.9167,1.9167,15,138,4,21,35,9
True,31,63,2.0323,2.0323,16,126,4,29,53,14
True,26,45,1.7308,1.7308,15,90,3,22,38,12
True,22,33,1.5,1.5,10,66,3,15,21,9
True,14,19,1.3571,1.3571,7,38,2,18,28,8
True,19,22,1.1579,1.1579,8,44,2,4,2,2
True,22,36,1.6364,1.6364,11,72,3,22,36,11
True,37,81,2.1892,2.1892,17,162,4,36,78,17
True,22,36,1.6364,1.6364,13,72,3,25,45,13
True,21,31,1.4762,1.4762,12,62,3,17,27,11
True,32,62,1.9375,1.9375,14,124,3,22,41,11
True,24,43,1.7917,1.7917,14,86,3,40,87,19
True,30,51,1.7,1.7,10,102,3,26,45,11
True,27,54,2.0,2.0,12,108,4,26,51,12
True,5,3,0.6,0.6,3,6,1,4,2,2
True,24,36,1.5,1.5,9,72,3,15,24,10
True,38,88,2.3158,2.3158,20,176,4,41,93,20
True,26,47,1.8077,1.8077,13,94,3,24,42,11
True,31,57,1.8387,1.8387,12,114,3,21,37,12
True,20,35,1.75,1.75,12,70,3,28,54,13
True,34,63,1.8529,1.8529,13,126,3,23,37,10
True,30,71,2.3667,2.3667,15,142,4,33,73,14
True,19,27,1.4211,1.4211,8,54,3,0,0,0
True,37,80,2.1622,2.1622,16,160,4,40,88,20
True,20,31,1.55,1.55,10,62,3,22,37,13
True,25,44,1.76,1.76,12,88,3,17,23,8
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,17,28,1.6471,1.6471,9,56,3,19,31,10
True,18,31,1.7222,1.7222,10,62,3,18,31,10
True,42,89,2.119,2.119,19,178,4,42,89,19
True,33,68,2.0606,2.0606,13,136,4,32,73,17
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,27,43,1.5926,1.5926,10,86,3,14,18,7
True,11,12,1.0909,1.0909,5,24,2,13,15,3
True,21,32,1.5238,1.5238,10,64,3,10,14,8
True,31,62,2.0,2.0,16,124,4,24,46,11
True,46,126,2.7391,2.7391,34,252,5,43,116,31
True,21,33,1.5714,1.5714,8,66,3,28,43,8
True,30,77,2.5667,2.5667,21,154,5,25,57,15
True,14,22,1.5714,1.5714,9,44,3,14,22,9
True,9,14,1.5556,1.5556,8,28,3,9,14,8
True,33,69,2.0909,2.0909,15,138,4,35,64,13
True,10,15,1.5,1.5,4,30,3,10,15,4
True,31,75,2.4194,2.4194,22,150,4,36,88,21
True,27,45,1.6667,1.6667,8,90,3,3,4,4
True,44,128,2.9091,2.9091,31,256,5,46,135,32
True,34,68,2.0,2.0,19,136,4,43,95,19
True,30,50,1.6667,1.6667,13,100,3,6,3,3
True,26,44,1.6923,1.6923,9,88,3,22,38,13
True,32,58,1.8125,1.8125,13,116,3,18,25,10
True,28,46,1.6429,1.6429,14,92,3,15,22,11
True,20,29,1.45,1.45,9,58,2,18,26,9
True,10,15,1.5,1.5,7,30,3,10,15,7
True,32,56,1.75,1.75,10,112,3,6,5,3
True,22,35,1.5909,1.5909,8,70,3,21,33,8
True,24,38,1.5833,1.5833,11,76,3,22,31,9
True,22,38,1.7273,1.7273,13,76,3,40,87,20
True,0,0,0.0,0.0,0,0,0,0,0,0
True,35,77,2.2,2.2,17,154,4,38,85,17
True,20,27,1.35,1.35,10,54,2,18,26,13
True,31,58,1.871,1.871,16,116,3,34,66,14
True,25,49,1.96,1.96,11,98,3,26,45,11
True,29,48,1.6552,1.6552,12,96,3,18,29,13
True,18,27,1.5,1.5,12,54,3,11,20,10
True,13,18,1.3846,1.3846,10,36,3,8,10,5
True,27,43,1.5926,1.5926,18,86,3,27,47,18
True,25,40,1.6,1.6,11,80,3,20,28,9
True,25,39,1.56,1.56,12,78,3,25,43,10
True,24,37,1.5417,1.5417,8,74,3,22,32,11
True,12,18,1.5,1.5,9,36,3,5,7,5
True,40,91,2.275,2.275,19,182,4,37,77,14
True,29,58,2.0,2.0,13,116,4,19,35,10
True,49,149,3.0408,3.0408,32,298,6,51,144,33
True,21,37,1.7619,1.7619,14,74,3,15,28,12
True,37,80,2.1622,2.1622,17,160,4,35,69,16
True,35,68,1.9429,1.9429,15,136,3,37,72,17
True,29,55,1.8966,1.8966,16,110,3,26,46,12
True,19,27,1.4211,1.4211,8,54,3,0,0,0
True,34,67,1.9706,1.9706,14,134,3,10,14,8
True,41,90,2.1951,2.1951,15,180,4,39,95,18
True,15,25,1.6667,1.6667,8,50,3,14,22,7
True,46,105,2.2826,2.2826,22,210,4,40,87,18
True,30,44,1.4667,1.4667,12,88,3,24,37,12
True,14,18,1.2857,1.2857,7,36,2,8,11,6
True,20,26,1.3,1.3,8,52,2,9,10,6
True,27,38,1.4074,1.4074,8,76,2,33,53,11
True,8,9,1.125,1.125,4,18,2,8,9,4
True,37,88,2.3784,2.3784,19,176,4,37,89,19
True,17,23,1.3529,1.3529,8,46,2,7,10,5
True,24,35,1.4583,1.4583,10,70,2,25,39,8
True,42,96,2.2857,2.2857,18,192,4,30,62,17
True,21,26,1.2381,1.2381,9,52,2,0,0,0
True,12,16,1.3333,1.3333,6,32,2,7,7,4
True,7,10,1.4286,1.4286,5,20,2,25,43,12
True,26,38,1.4615,1.4615,9,76,3,7,10,5
True,23,35,1.5217,1.5217,9,70,3,0,0,0
True,25,34,1.36,1.36,9,68,2,10,12,5
True,45,97,2.1556,2.1556,20,194,4,35,71,15
True,27,58,2.1481,2.1481,15,116,4,26,51,14
True,27,43,1.5926,1.5926,10,86,3,22,33,9
True,9,12,1.3333,1.3333,6,24,2,11,13,6
True,25,38,1.52,1.52,9,76,3,22,32,7
True,26,39,1.5,1.5,9,78,3,22,33,8
True,28,47,1.6786,1.6786,13,94,3,29,46,13
True,33,54,1.6364,1.6364,15,108,3,27,44,12
True,30,49,1.6333,1.6333,11,98,3,8,10,5
True,25,37,1.48,1.48,9,74,3,0,0,0
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,28,44,1.5714,1.5714,9,88,3,26,44,9
True,24,35,1.4583,1.4583,9,70,3,0,0,0
True,28,46,1.6429,1.6429,9,92,3,7,7,4
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,14,17,1.2143,1.2143,8,34,2,0,0,0
True,24,48,2.0,2.0,11,96,4,33,76,15
True,37,81,2.1892,2.1892,15,162,4,40,90,20
True,39,78,2.0,2.0,19,156,4,38,90,23
True,12,17,1.4167,1.4167,7,34,2,8,9,4
True,11,19,1.7273,1.7273,9,38,3,12,18,8
True,21,29,1.381,1.381,9,58,2,8,11,6
True,36,74,2.0556,2.0556,19,148,4,32,60,15
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,28,44,1.5714,1.5714,9,88,3,0,0,0
True,7,9,1.2857,1.2857,5,18,2,0,0,0
