contains_bug,add_density,add_num_nodes,add_num_edges,add_max_degree,add_sum_degree,del_density,del_num_nodes,del_num_edges,del_max_degree,del_sum_degree
True,0.07,25,44,17,88,0.07,25,44,17,88
True,0.05,43,93,21,186,0.06,28,47,15,94
True,0.09,14,17,9,34,0.09,14,17,9,34
True,0.06,27,40,14,80,0.06,26,39,13,78
True,0.06,27,41,13,82,0.07,19,24,12,48
True,0.11,15,24,14,48,0.1,15,22,14,44
True,0.08,22,35,12,70,0.09,18,27,10,54
True,0.06,24,35,15,70,0.07,20,28,14,56
True,0.07,29,57,15,114,0.1,15,20,11,40
True,0.06,42,106,27,212,0.06,39,91,25,182
True,0.08,22,37,15,74,0.09,19,30,14,60
True,0.06,30,53,16,106,0.08,16,20,12,40
True,0.07,27,51,16,102,0.07,27,49,16,98
True,0.11,13,17,9,34,0.11,13,17,9,34
True,0.08,21,32,11,64,0.08,21,32,11,64
True,0.07,36,84,20,168,0.09,19,32,13,64
True,0.07,22,31,11,62,0.1,15,20,11,40
True,0.1,15,21,12,42,0.1,15,21,12,42
True,0.05,33,56,13,112,0.11,13,17,9,34
True,0.05,38,71,13,142,0.1,14,19,8,38
True,0.12,11,13,6,26,0.12,11,13,6,26
True,0.07,36,82,22,164,0.07,36,82,23,164
True,0.07,24,41,14,82,0.07,24,41,14,82
True,0.09,20,34,13,68,0.09,20,34,13,68
True,0.1,17,26,13,52,0.1,17,26,13,52
True,0.07,25,42,14,84,0.07,21,31,12,62
True,0.06,28,49,16,98,0.09,16,22,12,44
True,0.07,25,45,15,90,0.08,24,42,15,84
True,0.05,36,67,15,134,0.06,33,61,16,122
True,0.06,33,60,16,120,0.06,25,37,14,74
True,0.06,33,64,14,128,0.07,26,44,12,88
True,0.08,24,44,14,88,0.08,24,42,14,84
True,0.05,37,70,18,140,0.05,41,80,18,160
True,0.06,27,44,12,88,0.08,20,29,10,58
True,0.06,35,68,19,136,0.06,35,71,20,142
True,0.07,28,52,14,104,0.08,21,34,13,68
True,0.06,48,133,30,266,0.06,43,100,27,200
True,0.07,30,58,17,116,0.07,29,53,16,106
True,0.09,16,21,12,42,0.09,16,21,12,42
True,0.07,22,32,17,64,0.08,18,25,16,50
True,0.12,13,19,12,38,0.12,13,19,12,38
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.05,42,85,17,170,0.07,29,53,13,106
True,0.08,22,38,14,76,0.11,18,33,13,66
True,0.08,26,50,15,100,0.09,19,30,13,60
True,0.05,32,49,14,98,0.06,24,32,12,64
True,0.07,23,37,13,74,0.09,16,21,13,42
True,0.07,26,43,12,86,0.12,12,16,9,32
True,0.12,14,22,11,44,0.1,15,21,10,42
True,0.07,29,53,16,106,0.07,27,48,15,96
True,0.07,23,35,16,70,0.08,17,23,13,46
True,0.12,12,16,9,32,0.12,12,16,9,32
True,0.09,16,22,13,44,0.09,16,21,12,42
True,0.05,36,69,12,138,0.13,12,17,8,34
True,0.06,38,78,20,156,0.06,27,41,12,82
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.08,22,35,12,70,0.12,13,19,11,38
True,0.08,22,37,14,74,0.08,24,43,14,86
