contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la
True,37,84,2.2703,2.2703,18,168,4.67,168,2.13681,89
True,44,116,2.6364,2.6364,23,232,5.4,206,0.0,161
True,19,35,1.8421,1.8421,12,70,3.89,70,0.0,1
True,23,36,1.5652,1.5652,10,72,3.27,72,0.0,4
True,38,80,2.1053,2.1053,18,160,4.32,150,2.25125,115
True,51,133,2.6078,2.6078,29,266,5.32,146,1.15567,404
True,29,54,1.8621,1.8621,13,108,3.86,88,0.974025,34
True,24,41,1.7083,1.7083,11,82,3.57,82,1.62164,24
True,38,83,2.1842,2.1842,19,166,4.49,156,1.27561,32
True,30,54,1.8,1.8,15,108,3.86,60,0.951819,52
True,26,47,1.8077,1.8077,12,94,3.76,92,0.0,15
True,36,74,2.0556,2.0556,17,148,4.23,148,0.88657,15
True,46,110,2.3913,2.3913,26,220,4.89,198,1.52963,150
True,42,96,2.2857,2.2857,24,192,4.68,166,1.46946,101
True,43,111,2.5814,2.5814,28,222,5.29,214,2.69551,70
True,26,46,1.7692,1.7692,13,92,3.68,44,0.200622,32
True,24,46,1.9167,1.9167,13,92,4.0,86,1.57095,10
True,29,64,2.2069,2.2069,19,128,4.57,114,1.71434,266
True,42,101,2.4048,2.4048,27,202,4.93,202,0.714432,1616
True,44,111,2.5227,2.5227,33,222,5.16,202,1.09726,1787
True,36,75,2.0833,2.0833,17,150,4.29,54,1.0481,885
True,35,68,1.9429,1.9429,16,136,4.12,110,0.736768,30
True,50,127,2.54,2.54,30,254,5.18,180,1.41417,294
True,6,5,0.8333,0.8333,5,10,2.0,10,0.0,2
True,35,81,2.3143,2.3143,15,162,4.76,148,1.3616,81
True,40,96,2.4,2.4,22,192,4.92,204,1.299,58
True,43,88,2.0465,2.0465,16,176,4.19,176,0.167027,53
True,43,99,2.3023,2.3023,18,198,4.71,176,2.07289,78
True,48,136,2.8333,2.8333,41,272,5.79,274,4.4228,360
True,6,5,0.8333,0.8333,5,10,2.0,10,1.5225,48
True,35,79,2.2571,2.2571,21,158,4.79,110,6.26931,535
True,28,51,1.8214,1.8214,15,102,3.78,102,1.68105,13
True,40,78,1.95,1.95,18,156,4.11,106,1.54897,77
True,46,110,2.3913,2.3913,20,220,4.89,74,1.02507,420
True,43,101,2.3488,2.3488,23,202,4.81,146,0.648653,239
