contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_edges,del_sum_degree,la
True,33,65,1.9697,1.9697,19,130,4.06,35,70,89
True,33,67,2.0303,2.0303,19,134,4.19,63,126,110
True,24,47,1.9583,1.9583,15,94,4.09,11,22,82
True,41,90,2.1951,2.1951,19,180,4.74,87,174,140
True,47,121,2.5745,2.5745,36,242,5.26,117,234,600
True,18,28,1.5556,1.5556,12,56,3.29,30,60,3
True,28,47,1.6786,1.6786,16,94,3.48,43,86,59
True,27,47,1.7407,1.7407,16,94,3.62,44,88,31
True,47,111,2.3617,2.3617,27,222,4.83,93,186,871
True,28,55,1.9643,1.9643,17,110,4.23,50,100,108
True,38,87,2.2895,2.2895,19,174,4.7,91,182,190
True,35,67,1.9143,1.9143,21,134,3.94,66,132,63
True,14,23,1.6429,1.6429,12,46,3.54,23,46,2
True,37,73,1.973,1.973,18,146,4.06,71,142,97
True,34,83,2.4412,2.4412,20,166,5.03,87,174,99
True,47,116,2.4681,2.4681,27,232,5.04,104,208,893
True,47,116,2.4681,2.4681,26,232,5.04,76,152,765
True,44,105,2.3864,2.3864,26,210,4.88,98,196,265
True,13,19,1.4615,1.4615,9,38,3.45,11,22,179
True,45,107,2.3778,2.3778,23,214,4.86,33,66,816
True,16,23,1.4375,1.4375,9,46,3.07,11,22,4
True,47,113,2.4043,2.4043,24,226,4.91,83,166,1050
True,43,113,2.6279,2.6279,34,226,5.38,123,246,193
True,39,83,2.1282,2.1282,18,166,4.37,82,164,101
True,18,23,1.2778,1.2778,8,46,2.71,15,30,338
True,45,127,2.8222,2.8222,32,254,5.77,116,232,1638
True,43,99,2.3023,2.3023,24,198,4.83,65,130,432
True,45,114,2.5333,2.5333,30,228,5.18,100,200,337
True,50,157,3.14,3.14,41,314,6.41,138,276,693
True,43,111,2.5814,2.5814,25,222,5.29,97,194,315
True,44,94,2.1364,2.1364,18,188,4.37,26,52,1985
True,30,58,1.9333,1.9333,15,116,4.0,57,114,23
True,35,70,2.0,2.0,16,140,4.12,70,140,136
True,39,89,2.2821,2.2821,18,178,4.68,86,172,319
True,23,39,1.6957,1.6957,14,78,3.71,54,108,19
True,38,72,1.8947,1.8947,15,144,3.89,55,110,354
True,44,105,2.3864,2.3864,23,210,4.88,81,162,583
True,38,78,2.0526,2.0526,18,156,4.22,72,144,72
True,38,91,2.3947,2.3947,23,182,4.92,90,180,225
True,31,56,1.8065,1.8065,16,112,3.73,63,126,96
True,49,123,2.5102,2.5102,32,246,5.12,103,206,485
True,19,29,1.5263,1.5263,13,58,3.22,29,58,215
True,27,56,2.0741,2.0741,14,112,4.31,11,22,23
True,29,54,1.8621,1.8621,16,108,3.86,35,70,40
True,31,60,1.9355,1.9355,15,120,4.14,52,104,47
True,35,75,2.1429,2.1429,17,150,4.41,61,122,65
True,36,86,2.3889,2.3889,18,172,4.91,92,184,201
True,32,68,2.125,2.125,14,136,4.39,58,116,129
True,37,76,2.0541,2.0541,21,152,4.22,78,156,276
True,26,53,2.0385,2.0385,16,106,4.24,53,106,9
True,49,107,2.1837,2.1837,21,214,4.46,32,64,1571
True,26,42,1.6154,1.6154,16,84,3.36,34,68,38
True,36,76,2.1111,2.1111,21,152,4.34,76,152,15
True,28,53,1.8929,1.8929,15,106,3.93,42,84,34
True,39,96,2.4615,2.4615,21,192,5.05,90,180,191
True,41,95,2.3171,2.3171,19,190,4.75,84,168,544
True,28,56,2.0,2.0,14,112,4.31,50,100,68
True,23,41,1.7826,1.7826,15,82,3.73,40,80,5
True,44,102,2.3182,2.3182,21,204,4.74,78,156,165
True,35,77,2.2,2.2,18,154,4.53,56,112,408
True,33,67,2.0303,2.0303,16,134,4.19,53,106,77
True,23,41,1.7826,1.7826,15,82,3.73,43,86,53
True,16,26,1.625,1.625,13,52,3.47,34,68,5
True,37,87,2.3514,2.3514,24,174,4.83,85,170,283
True,45,114,2.5333,2.5333,21,228,5.18,67,134,487
True,53,147,2.7736,2.7736,36,294,5.65,53,106,1561
True,23,38,1.6522,1.6522,13,76,3.45,34,68,31
True,30,61,2.0333,2.0333,16,122,4.21,55,110,115
True,36,88,2.4444,2.4444,21,176,5.03,83,166,188
True,26,52,2.0,2.0,15,104,4.16,49,98,23
True,39,75,1.9231,1.9231,15,150,3.95,31,62,279
True,28,54,1.9286,1.9286,16,108,4.0,44,88,63
True,34,77,2.2647,2.2647,22,154,4.67,76,152,34
True,46,119,2.587,2.587,33,238,5.29,77,154,732
True,36,82,2.2778,2.2778,18,164,4.69,84,168,75
True,30,59,1.9667,1.9667,16,118,4.07,57,114,54
True,40,87,2.175,2.175,19,174,4.46,20,40,116
True,32,80,2.5,2.5,21,160,5.16,50,100,526
True,19,29,1.5263,1.5263,12,58,3.22,25,50,265
True,34,73,2.1471,2.1471,17,146,4.42,63,126,175
True,48,144,3.0,3.0,40,288,6.13,120,240,528
True,34,62,1.8235,1.8235,16,124,3.76,58,116,124
True,18,28,1.5556,1.5556,12,56,3.5,11,22,82
True,31,61,1.9677,1.9677,16,122,4.07,59,118,24
True,31,68,2.1935,2.1935,15,136,4.53,67,134,59
True,30,56,1.8667,1.8667,16,112,3.86,26,52,379
True,29,58,2.0,2.0,17,116,4.14,57,114,27
True,14,23,1.6429,1.6429,12,46,3.54,23,46,4
True,29,52,1.7931,1.7931,13,104,3.71,56,112,10
True,30,58,1.9333,1.9333,16,116,4.0,57,114,4
True,23,44,1.913,1.913,14,88,4.0,45,90,13
True,23,41,1.7826,1.7826,15,82,3.73,32,64,23
True,41,93,2.2683,2.2683,20,186,4.65,81,162,150
True,34,65,1.9118,1.9118,17,130,3.94,36,72,110
True,36,66,1.8333,1.8333,16,132,3.77,46,92,50
True,42,81,1.9286,1.9286,17,162,3.95,25,50,1635
True,44,122,2.7727,2.7727,32,244,5.67,112,224,553
True,28,57,2.0357,2.0357,17,114,4.22,41,82,51
True,22,39,1.7727,1.7727,13,78,3.71,34,68,36
True,11,18,1.6364,1.6364,8,36,3.6,12,24,96
True,41,101,2.4634,2.4634,21,202,5.05,87,174,342
True,36,81,2.25,2.25,17,162,4.63,45,90,109
True,15,23,1.5333,1.5333,9,46,3.29,24,48,244
True,16,26,1.625,1.625,11,52,3.47,12,24,35
True,35,73,2.0857,2.0857,17,146,4.29,73,146,132
True,35,81,2.3143,2.3143,21,162,4.76,81,162,67
True,37,78,2.1081,2.1081,20,156,4.33,69,138,110
True,40,98,2.45,2.45,26,196,5.03,102,204,171
True,42,109,2.5952,2.5952,23,218,5.32,90,180,296
True,34,68,2.0,2.0,17,136,4.12,105,210,206
True,40,87,2.175,2.175,18,174,4.46,36,72,1024
True,44,118,2.6818,2.6818,28,236,5.62,113,226,379
True,42,105,2.5,2.5,22,210,5.12,94,188,247
True,38,95,2.5,2.5,22,190,5.14,114,228,93
True,42,104,2.4762,2.4762,28,208,5.07,96,192,525
True,18,29,1.6111,1.6111,14,58,3.41,29,58,4
True,39,92,2.359,2.359,23,184,4.84,89,178,241
True,39,82,2.1026,2.1026,18,164,4.32,76,152,72
True,33,75,2.2727,2.2727,20,150,4.69,74,148,60
True,22,37,1.6818,1.6818,14,74,3.52,30,60,13
True,43,93,2.1628,2.1628,18,186,4.43,56,112,450
True,15,26,1.7333,1.7333,12,52,3.71,32,64,1341
True,37,77,2.0811,2.0811,18,154,4.28,77,154,284
True,47,129,2.7447,2.7447,27,258,5.61,103,206,1010
True,32,59,1.8438,1.8438,16,118,3.81,46,92,109
True,28,54,1.9286,1.9286,16,108,4.0,40,80,127
True,32,63,1.9688,1.9688,17,126,4.06,25,50,513
True,34,62,1.8235,1.8235,17,124,3.88,59,118,42
True,36,88,2.4444,2.4444,19,176,5.03,7,14,722
True,6,7,1.1667,1.1667,5,14,2.8,7,14,591
True,47,113,2.4043,2.4043,23,226,4.91,29,58,1322
True,49,115,2.3469,2.3469,22,230,4.89,46,92,1537
True,47,118,2.5106,2.5106,24,236,5.13,78,156,924
True,32,70,2.1875,2.1875,17,140,4.52,54,108,83
True,37,80,2.1622,2.1622,20,160,4.44,87,174,91
True,44,106,2.4091,2.4091,27,212,4.93,80,160,1220
True,18,27,1.5,1.5,14,54,3.18,26,52,9
True,37,77,2.0811,2.0811,19,154,4.28,64,128,212
True,32,59,1.8438,1.8438,17,118,3.81,54,108,20
True,40,75,1.875,1.875,16,150,3.85,25,50,188
True,29,60,2.069,2.069,16,120,4.29,55,110,39
True,38,76,2.0,2.0,16,152,4.11,74,148,126
True,26,48,1.8462,1.8462,13,96,4.0,46,92,105
True,34,62,1.8235,1.8235,15,124,3.76,35,70,174
True,50,126,2.52,2.52,29,252,5.14,115,230,345
True,30,56,1.8667,1.8667,15,112,3.86,43,86,79
True,23,39,1.6957,1.6957,12,78,3.71,38,76,8
True,40,88,2.2,2.2,21,176,4.63,59,118,280
True,39,93,2.3846,2.3846,23,186,4.89,86,172,421
True,9,12,1.3333,1.3333,7,24,3.0,12,24,26
True,44,98,2.2273,2.2273,20,196,4.56,25,50,548
True,41,91,2.2195,2.2195,22,182,4.55,74,148,154
True,25,46,1.84,1.84,15,92,3.83,70,140,30
True,28,49,1.75,1.75,16,98,3.63,42,84,50
True,44,106,2.4091,2.4091,24,212,4.93,62,124,251
True,29,53,1.8276,1.8276,17,106,3.79,45,90,131
True,39,81,2.0769,2.0769,18,162,4.26,66,132,148
True,40,80,2.0,2.0,20,160,4.1,80,160,259
True,24,47,1.9583,1.9583,16,94,4.09,47,94,8
True,34,66,1.9412,1.9412,18,132,4.0,49,98,68
True,24,41,1.7083,1.7083,13,82,3.57,23,46,72
True,37,83,2.2432,2.2432,17,166,4.61,80,160,60
True,41,110,2.6829,2.6829,27,220,5.5,94,188,225
True,35,79,2.2571,2.2571,21,158,4.65,79,158,127
True,35,80,2.2857,2.2857,20,160,4.71,64,128,450
True,45,118,2.6222,2.6222,30,236,5.36,106,212,597
True,29,54,1.8621,1.8621,16,108,3.86,34,68,38
True,34,62,1.8235,1.8235,16,124,3.76,36,72,96
True,29,52,1.7931,1.7931,16,104,3.85,39,78,31
True,34,62,1.8235,1.8235,17,124,3.88,46,92,65
True,38,89,2.3421,2.3421,21,178,4.81,83,166,342
True,34,67,1.9706,1.9706,17,134,4.06,51,102,165
True,38,81,2.1316,2.1316,16,162,4.38,79,158,55
True,40,97,2.425,2.425,27,194,4.97,87,174,168
True,36,76,2.1111,2.1111,17,152,4.34,53,106,248
True,15,23,1.5333,1.5333,12,46,3.29,23,46,25
True,18,31,1.7222,1.7222,14,62,3.65,31,62,3
True,38,92,2.4211,2.4211,20,184,4.97,90,180,86
True,31,63,2.0323,2.0323,15,126,4.2,50,100,119
True,43,106,2.4651,2.4651,29,212,5.05,93,186,445
True,21,34,1.619,1.619,15,68,3.4,25,50,8
True,30,57,1.9,1.9,16,114,3.93,43,86,43
True,18,37,2.0556,2.0556,13,74,4.35,37,74,35
True,36,73,2.0278,2.0278,17,146,4.17,95,190,220
True,42,91,2.1667,2.1667,18,182,4.44,67,134,396
True,46,120,2.6087,2.6087,29,240,5.33,110,220,976
True,32,66,2.0625,2.0625,16,132,4.26,66,132,58
True,33,63,1.9091,1.9091,16,126,3.94,55,110,28
True,25,51,2.04,2.04,14,102,4.25,45,90,36
True,36,77,2.1389,2.1389,17,154,4.4,66,132,229
True,47,119,2.5319,2.5319,32,238,5.17,109,218,692
True,44,111,2.5227,2.5227,29,222,5.16,82,164,1292
True,42,113,2.6905,2.6905,26,226,5.51,76,152,422
True,36,73,2.0278,2.0278,18,146,4.17,57,114,93
True,37,73,1.973,1.973,17,146,4.06,72,144,48
True,31,64,2.0645,2.0645,17,128,4.27,63,126,55
True,30,52,1.7333,1.7333,17,104,3.59,57,114,17
True,46,108,2.3478,2.3478,30,216,4.8,106,212,726
True,43,105,2.4419,2.4419,27,210,5.0,103,206,216
True,29,56,1.931,1.931,15,112,4.0,69,138,113
True,47,118,2.5106,2.5106,33,236,5.13,92,184,184
True,40,82,2.05,2.05,18,164,4.21,52,104,218
True,39,80,2.0513,2.0513,19,160,4.32,36,72,113
True,37,80,2.1622,2.1622,19,160,4.44,60,120,199
True,36,74,2.0556,2.0556,16,148,4.23,39,78,161
True,49,132,2.6939,2.6939,30,264,5.5,115,230,1252
True,41,96,2.3415,2.3415,19,192,4.8,82,164,374
True,34,67,1.9706,1.9706,16,134,4.06,42,84,86
True,28,48,1.7143,1.7143,15,96,3.56,49,98,16
True,40,97,2.425,2.425,24,194,4.97,86,172,132
True,41,92,2.2439,2.2439,21,184,4.6,91,182,53
True,37,96,2.5946,2.5946,26,192,5.33,97,194,399
True,42,95,2.2619,2.2619,20,190,4.63,19,38,391
True,32,65,2.0312,2.0312,16,130,4.19,60,120,43
True,44,89,2.0227,2.0227,18,178,4.14,56,112,125
True,15,27,1.8,1.8,13,54,3.86,24,48,52
True,33,68,2.0606,2.0606,15,136,4.25,62,124,40
True,47,102,2.1702,2.1702,19,204,4.43,18,36,2107
True,42,85,2.0238,2.0238,16,170,4.15,22,44,806
True,48,127,2.6458,2.6458,34,254,5.4,125,250,659
True,26,42,1.6154,1.6154,12,84,3.36,30,60,53
True,27,47,1.7407,1.7407,13,94,3.62,46,92,31
True,18,28,1.5556,1.5556,11,56,3.29,19,38,25
True,31,69,2.2258,2.2258,16,138,4.6,68,136,21
True,23,50,2.1739,2.1739,16,100,4.55,50,100,21
True,46,96,2.087,2.087,20,192,4.27,17,34,2195
True,44,94,2.1364,2.1364,21,188,4.37,23,46,1468
True,41,80,1.9512,1.9512,16,160,4.0,17,34,1041
True,42,88,2.0952,2.0952,17,176,4.29,28,56,836
True,43,86,2.0,2.0,17,172,4.1,17,34,1136
True,42,87,2.0714,2.0714,18,174,4.24,28,56,1232
True,43,85,1.9767,1.9767,17,170,4.05,17,34,953
True,37,75,2.027,2.027,18,150,4.17,17,34,1257
True,43,97,2.2558,2.2558,21,194,4.62,70,140,716
True,48,133,2.7708,2.7708,33,266,5.66,110,220,721
True,39,89,2.2821,2.2821,20,178,4.68,87,174,47
True,26,46,1.7692,1.7692,16,92,3.68,42,84,6
True,24,43,1.7917,1.7917,14,86,3.91,43,86,21
True,19,32,1.6842,1.6842,15,64,3.56,30,60,18
True,32,59,1.8438,1.8438,17,118,3.81,23,46,84
True,31,64,2.0645,2.0645,17,128,4.27,65,130,40
True,29,56,1.931,1.931,19,112,4.0,54,108,164
True,19,33,1.7368,1.7368,12,66,3.67,26,52,77
True,11,17,1.5455,1.5455,8,34,3.4,17,34,90
True,46,130,2.8261,2.8261,32,260,5.78,120,240,500
True,21,38,1.8095,1.8095,14,76,3.8,38,76,8
True,21,38,1.8095,1.8095,14,76,3.8,38,76,8
True,23,38,1.6522,1.6522,13,76,3.45,32,64,72
True,26,45,1.7308,1.7308,17,90,3.6,45,90,30
True,36,75,2.0833,2.0833,20,150,4.29,59,118,48
True,28,61,2.1786,2.1786,14,122,4.52,30,60,524
True,37,92,2.4865,2.4865,26,184,5.11,75,150,276
True,22,42,1.9091,1.9091,14,84,4.0,37,74,197
True,31,61,1.9677,1.9677,17,122,4.07,62,124,86
True,9,12,1.3333,1.3333,7,24,3.0,12,24,116
True,19,32,1.6842,1.6842,13,64,3.56,32,64,2
True,19,33,1.7368,1.7368,13,66,3.67,25,50,95
False,36,80,2.2222,2.2222,19,160,4.57,60,120,569
False,17,30,1.7647,1.7647,12,60,3.75,30,60,5
False,20,36,1.8,1.8,12,72,3.79,36,72,5
False,27,55,2.037,2.037,15,110,4.23,55,110,5
False,30,59,1.9667,1.9667,16,118,4.07,36,72,75
False,13,21,1.6154,1.6154,8,42,3.5,21,42,1
False,10,12,1.2,1.2,6,24,2.67,12,24,5
False,18,31,1.7222,1.7222,11,62,3.65,31,62,5
False,22,37,1.6818,1.6818,11,74,3.52,37,74,2
False,20,33,1.65,1.65,11,66,3.47,45,90,1
False,26,49,1.8846,1.8846,14,98,3.92,53,106,109
False,21,31,1.4762,1.4762,13,62,3.1,31,62,7
False,23,39,1.6957,1.6957,14,78,3.55,15,30,144
False,19,31,1.6316,1.6316,15,62,3.44,31,62,4
False,26,46,1.7692,1.7692,15,92,3.68,43,86,70
False,32,63,1.9688,1.9688,15,126,4.06,64,128,15
False,13,22,1.6923,1.6923,9,44,3.67,22,44,57
False,34,77,2.2647,2.2647,17,154,4.67,77,154,212
False,11,18,1.6364,1.6364,8,36,3.6,18,36,3
False,19,27,1.4211,1.4211,10,54,3.0,11,22,2
False,14,22,1.5714,1.5714,12,44,3.38,24,48,0
False,14,24,1.7143,1.7143,10,48,3.69,24,48,2
False,19,29,1.5263,1.5263,11,58,3.22,31,62,4
False,13,21,1.6154,1.6154,9,42,3.5,17,34,21
False,18,26,1.4444,1.4444,11,52,3.06,26,52,1
False,24,46,1.9167,1.9167,15,92,4.0,38,76,90
False,17,26,1.5294,1.5294,10,52,3.25,26,52,1
False,17,30,1.7647,1.7647,12,60,3.75,28,56,88
False,18,28,1.5556,1.5556,13,56,3.29,28,56,2
False,11,17,1.5455,1.5455,8,34,3.4,17,34,0
False,10,16,1.6,1.6,8,32,3.56,16,32,100
False,21,34,1.619,1.619,14,68,3.4,34,68,6
False,19,31,1.6316,1.6316,13,62,3.44,19,38,136
False,28,53,1.8929,1.8929,14,106,3.93,26,52,71
False,16,27,1.6875,1.6875,12,54,3.6,26,52,465
False,14,21,1.5,1.5,10,42,3.23,21,42,0
False,10,16,1.6,1.6,8,32,3.56,16,32,20
False,14,21,1.5,1.5,11,42,3.5,21,42,1
False,20,41,2.05,2.05,14,82,4.32,25,50,77
False,26,44,1.6923,1.6923,15,88,3.52,28,56,46
False,19,38,2.0,2.0,14,76,4.22,38,76,33
False,20,33,1.65,1.65,12,66,3.47,33,66,3
False,11,17,1.5455,1.5455,8,34,3.4,17,34,1
False,18,30,1.6667,1.6667,10,60,3.53,33,66,4
False,34,77,2.2647,2.2647,17,154,4.67,77,154,212
False,24,40,1.6667,1.6667,14,80,3.48,35,70,173
False,13,20,1.5385,1.5385,9,40,3.64,20,40,2
False,10,12,1.2,1.2,6,24,2.67,12,24,5
False,11,18,1.6364,1.6364,8,36,3.6,18,36,1
