contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes
True,34.0,61.0,1.7941,1.7941,13.0,122.0,3.0,3.0,1.0,34.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,16.0,22.0,1.375,1.375,8.0,44.0,2.0,2.0,1.0,13.0
True,25.0,43.0,1.72,1.72,11.0,86.0,3.0,3.0,1.0,14.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,24.0,36.0,1.5,1.5,8.0,72.0,3.0,2.0,1.0,23.0
True,14.0,24.0,1.7143,1.7143,9.0,48.0,3.0,2.0,1.0,0.0
True,18.0,36.0,2.0,2.0,10.0,72.0,4.0,3.0,1.0,20.0
True,19.0,34.0,1.7895,1.7895,10.0,68.0,3.0,3.0,2.0,20.0
True,12.0,19.0,1.5833,1.5833,9.0,38.0,3.0,2.0,1.0,9.0
True,20.0,37.0,1.85,1.85,11.0,74.0,3.0,3.0,1.0,21.0
True,34.0,60.0,1.7647,1.7647,14.0,120.0,3.0,2.0,1.0,36.0
True,13.0,17.0,1.3077,1.3077,5.0,34.0,2.0,2.0,0.0,12.0
True,15.0,21.0,1.4,1.4,7.0,42.0,2.0,2.0,1.0,0.0
True,34.0,59.0,1.7353,1.7353,16.0,118.0,3.0,2.0,1.0,29.0
True,25.0,41.0,1.64,1.64,11.0,82.0,3.0,2.0,1.0,24.0
True,21.0,32.0,1.5238,1.5238,8.0,64.0,3.0,2.0,1.0,14.0
True,16.0,22.0,1.375,1.375,7.0,44.0,2.0,2.0,1.0,0.0
True,9.0,13.0,1.4444,1.4444,6.0,26.0,2.0,2.0,1.0,11.0
True,7.0,7.0,1.0,1.0,4.0,14.0,2.0,1.0,1.0,16.0
True,22.0,34.0,1.5455,1.5455,8.0,68.0,3.0,2.0,1.0,14.0
True,29.0,49.0,1.6897,1.6897,13.0,98.0,3.0,2.0,1.0,14.0
