contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree
True,13,17,1.3077,1.3077,7,34,2,2,13,7
True,11,14,1.2727,1.2727,5,28,2,2,10,5
True,28,56,2.0,2.0,13,112,4,3,32,13
True,2,1,0.5,0.5,1,2,1,1,0,0
True,29,53,1.8276,1.8276,17,106,3,3,21,12
True,36,89,2.4722,2.4722,24,178,4,4,36,24
True,27,53,1.963,1.963,16,106,3,3,24,14
True,44,104,2.3636,2.3636,28,208,4,4,47,29
True,0,0,0.0,0.0,0,0,0,0,0,0
True,24,36,1.5,1.5,12,72,3,2,9,7
True,33,70,2.1212,2.1212,17,140,4,3,19,12
True,12,18,1.5,1.5,11,36,3,2,41,21
True,13,20,1.5385,1.5385,12,40,3,2,14,12
True,16,23,1.4375,1.4375,9,46,2,2,18,7
True,0,0,0.0,0.0,0,0,0,0,0,0
True,16,24,1.5,1.5,8,48,3,2,16,9
True,21,34,1.619,1.619,9,68,3,2,11,7
True,28,54,1.9286,1.9286,13,108,3,3,10,5
True,8,11,1.375,1.375,6,22,2,2,8,6
True,22,37,1.6818,1.6818,13,74,3,2,22,13
True,30,56,1.8667,1.8667,13,112,3,3,29,14
True,14,18,1.2857,1.2857,7,36,2,2,7,4
True,12,14,1.1667,1.1667,7,28,2,1,12,7
True,5,6,1.2,1.2,4,12,3,3,5,5
True,13,19,1.4615,1.4615,10,38,2,2,12,10
True,19,29,1.5263,1.5263,8,58,3,2,19,9
True,32,80,2.5,2.5,21,160,5,4,49,40
True,22,38,1.7273,1.7273,12,76,3,3,15,10
True,11,14,1.2727,1.2727,5,28,2,2,8,4
True,19,25,1.3158,1.3158,8,50,2,2,7,5
True,31,60,1.9355,1.9355,14,120,3,3,17,11
True,11,15,1.3636,1.3636,7,30,2,2,11,7
True,14,18,1.2857,1.2857,8,36,2,2,14,8
True,30,56,1.8667,1.8667,14,112,3,2,25,12
True,9,12,1.3333,1.3333,6,24,2,2,9,6
True,19,27,1.4211,1.4211,8,54,2,2,0,0
True,36,87,2.4167,2.4167,23,174,4,3,32,20
True,25,39,1.56,1.56,11,78,3,2,24,11
True,16,24,1.5,1.5,10,48,3,2,16,10
True,10,12,1.2,1.2,5,24,2,2,23,12
True,38,86,2.2632,2.2632,20,172,4,3,42,25
True,12,17,1.4167,1.4167,7,34,2,2,8,6
True,38,74,1.9474,1.9474,15,148,3,3,27,11
True,22,37,1.6818,1.6818,9,74,3,2,22,10
True,20,33,1.65,1.65,9,66,3,3,34,13
True,24,41,1.7083,1.7083,13,82,3,2,26,15
True,8,9,1.125,1.125,4,18,2,2,8,4
True,30,53,1.7667,1.7667,12,106,3,2,29,12
True,31,50,1.6129,1.6129,12,100,3,3,25,11
True,8,9,1.125,1.125,4,18,2,2,0,0
True,20,33,1.65,1.65,9,66,3,3,22,9
True,8,13,1.625,1.625,7,26,3,3,8,6
True,20,29,1.45,1.45,8,58,2,2,14,7
True,23,35,1.5217,1.5217,10,70,3,2,13,7
True,19,27,1.4211,1.4211,8,54,2,2,19,8
True,24,45,1.875,1.875,15,90,3,3,25,15
True,31,57,1.8387,1.8387,16,114,3,3,27,15
True,0,0,0.0,0.0,0,0,0,0,0,0
True,9,13,1.4444,1.4444,6,26,2,2,9,5
True,24,39,1.625,1.625,14,78,3,3,22,14
True,7,8,1.1429,1.1429,4,16,2,2,7,4
True,30,66,2.2,2.2,15,132,4,3,31,17
True,17,24,1.4118,1.4118,8,48,2,2,20,11
True,32,58,1.8125,1.8125,13,116,3,3,45,24
True,14,20,1.4286,1.4286,8,40,2,2,14,8
True,40,86,2.15,2.15,21,172,4,3,39,21
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,4,5,1.25,1.25,4,10,2,2,32,18
True,4,3,0.75,0.75,3,6,1,1,24,10
True,27,47,1.7407,1.7407,13,94,3,2,23,11
True,22,39,1.7727,1.7727,11,78,3,3,9,5
True,32,58,1.8125,1.8125,15,116,3,3,39,15
True,21,32,1.5238,1.5238,10,64,3,2,18,9
True,19,29,1.5263,1.5263,9,58,3,2,15,7
True,32,59,1.8438,1.8438,12,118,3,3,19,10
True,38,81,2.1316,2.1316,19,162,4,3,35,18
True,13,15,1.1538,1.1538,7,30,2,2,8,6
True,10,10,1.0,1.0,5,20,2,2,0,0
True,20,34,1.7,1.7,11,68,3,2,9,8
True,33,62,1.8788,1.8788,13,124,3,3,26,10
True,6,7,1.1667,1.1667,6,14,2,1,5,5
True,35,79,2.2571,2.2571,18,158,4,3,37,22
True,20,34,1.7,1.7,9,68,3,3,15,8
True,32,67,2.0938,2.0938,19,134,4,4,30,16
True,13,17,1.3077,1.3077,6,34,2,2,7,5
True,20,29,1.45,1.45,10,58,2,2,15,10
True,13,17,1.3077,1.3077,6,34,2,2,13,6
True,19,28,1.4737,1.4737,14,56,2,2,22,12
True,19,26,1.3684,1.3684,10,52,2,2,16,11
True,14,19,1.3571,1.3571,8,38,2,2,13,7
True,11,12,1.0909,1.0909,5,24,2,2,10,4
True,22,35,1.5909,1.5909,11,70,3,2,18,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,14,19,1.3571,1.3571,8,38,2,2,14,9
True,21,34,1.619,1.619,10,68,3,2,12,7
True,12,15,1.25,1.25,6,30,2,2,7,5
True,39,75,1.9231,1.9231,17,150,3,3,37,16
True,29,52,1.7931,1.7931,14,104,3,2,26,12
True,27,43,1.5926,1.5926,11,86,3,2,18,8
True,14,18,1.2857,1.2857,8,36,2,2,0,0
True,25,38,1.52,1.52,12,76,3,2,9,4
True,20,31,1.55,1.55,9,62,3,3,8,6
True,8,9,1.125,1.125,4,18,2,2,6,4
True,17,23,1.3529,1.3529,9,46,2,2,36,17
True,20,28,1.4,1.4,9,56,2,2,21,10
True,0,0,0.0,0.0,0,0,0,0,0,0
True,7,7,1.0,1.0,4,14,2,2,0,0
True,22,32,1.4545,1.4545,9,64,2,2,18,7
True,31,65,2.0968,2.0968,15,130,4,3,26,15
True,24,39,1.625,1.625,12,78,3,2,13,10
True,25,50,2.0,2.0,13,100,4,3,25,13
True,20,32,1.6,1.6,9,64,3,3,19,10
True,28,51,1.8214,1.8214,14,102,3,3,17,11
True,18,26,1.4444,1.4444,8,52,2,2,18,8
True,33,66,2.0,2.0,15,132,4,2,32,13
True,21,31,1.4762,1.4762,9,62,2,2,15,8
True,38,90,2.3684,2.3684,22,180,4,3,37,23
