commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
6f51aca02e24728b4c45e7fd5c055c7201c7db3e,False,4,0.12,13,19,1.4615,1.4615,10,1,38,3.45,3.0,1,4,0.13,13,21,1.6154,1.6154,10,1,42,3.5,3.0,1,2,3,4,1.68404,14,8,383.5,88
39c95b5469d1461004abacce32c98b2176c8394d,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,4,1.95443,16,16,349.75,9
4dcb27a856655ace0925bce419b6dad081a403f9,False,7,0.1,18,30,1.6667,1.6667,13,1,60,3.53,3.0,1,7,0.1,18,30,1.6667,1.6667,13,1,60,3.53,3.0,1,2,2,2,1.0,8,8,168.0,4
ac5ef32c5529d3473cf5397df3ec436133bcee3d,False,2,0.08,18,23,1.2778,1.2778,9,1,46,2.88,2.0,1,2,0.08,18,23,1.2778,1.2778,9,1,46,2.88,2.0,1,1,1,1,0.0,16,13,564.0,5
22a803180de2e672011dc394c144c2d5e6cefc5e,False,4,0.13,13,21,1.6154,1.6154,10,1,42,3.5,3.0,1,4,0.13,13,21,1.6154,1.6154,10,1,42,3.5,3.0,1,1,1,1,0.0,2,2,201.0,1
bbb9e4b48958bab6ed60c379c8340825101c9801,False,15,0.08,21,35,1.6667,1.6667,14,1,70,3.5,2.5,1,15,0.08,21,35,1.6667,1.6667,14,1,70,3.5,2.5,1,2,2,3,1.4924,52,20,92.0,4
27d08c79753900209a78a5899001d30d58fd6cac,False,7,0.08,23,38,1.6522,1.6522,12,1,76,3.62,3.0,1,7,0.08,23,38,1.6522,1.6522,12,1,76,3.62,3.0,1,1,1,1,0.0,11,4,201.0,2
a09d3e4c12ce6ce86c6126f222a05c21f7462ef6,False,2,0.1,15,20,1.3333,1.3333,8,1,40,2.86,2.0,1,2,0.1,15,20,1.3333,1.3333,8,1,40,2.86,2.0,1,1,1,1,0.0,31,31,525.0,17
651b2034c7ebfb8f91628370850bf447ef9d8c79,False,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,2,2,3,1.5,8,8,7.66667,2
8308ab7dfb05d736a512756d3631fd51b0b90385,False,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,2,2,3,1.2254,56,50,122.333,11
720ded103d2d3e82fad80c61ccaafa44e5b8052e,False,7,0.1,16,25,1.5625,1.5625,14,1,50,3.33,2.0,1,7,0.1,16,25,1.5625,1.5625,14,1,50,3.33,2.0,1,1,1,1,0.0,4,2,590.0,48
fe3df711ede39836bd15f56181a412451ba3713d,False,5,0.08,20,30,1.5,1.5,13,1,60,3.16,2.0,1,7,0.08,21,33,1.5714,1.5714,15,1,66,3.3,2.0,1,1,1,1,0.0,3,0,130.0,4
e9dd003a97e4b0024e30b1409f9f72443d785d08,False,7,0.11,16,26,1.625,1.625,12,1,52,3.47,2.0,1,7,0.11,16,26,1.625,1.625,12,1,52,3.47,2.0,1,1,1,1,0.0,7,3,220.0,11
5135b37cefd919d39545003ac3d8764b8b555e6b,False,4,0.09,18,29,1.6111,1.6111,13,1,58,3.41,2.0,1,3,0.1,17,26,1.5294,1.5294,12,1,52,3.25,2.0,1,1,3,3,1.45915,8,4,481.667,22
9c7b12e6f128a59423f4de3d6d4b5231ebe9aac2,False,13,0.06,28,47,1.6786,1.6786,19,1,94,3.48,3.0,1,15,0.07,28,50,1.7857,1.7857,18,1,100,3.7,3.0,1,2,2,2,0.988699,10,6,3053.5,120
fe0f75643fbeaf8cc5bad5b2cd56fa769402dd29,False,5,0.12,13,19,1.4615,1.4615,10,1,38,3.17,2.0,1,5,0.12,13,19,1.4615,1.4615,10,1,38,3.17,2.0,1,1,1,1,0.0,7,7,5914.0,120
9864e9884d3659093cf4f37ab84ec3a1741aad1b,False,8,0.09,18,29,1.6111,1.6111,17,1,58,3.41,2.0,1,8,0.09,18,29,1.6111,1.6111,17,1,58,3.41,2.0,1,1,1,1,0.0,15,15,5914.0,120
ce2236adb1540d392aab68cfa4dc42f2c9245c07,False,22,0.06,33,62,1.8788,1.8788,20,1,124,3.88,3.0,1,20,0.06,32,60,1.875,1.875,19,1,120,3.87,3.0,1,2,4,5,2.18256,49,12,433.4,9
7e5862a853d90a56ccb846b9f935b1bd8ae8ada5,False,5,0.16,10,14,1.4,1.4,9,1,28,3.11,2.0,1,5,0.16,10,14,1.4,1.4,9,1,28,3.11,2.0,1,2,3,4,1.30959,93,8,1586.0,131
