commit_hash,contains_bug,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,glm_probability,rf_probability,add_num_cycles,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree
057326b46c76bef148acad773e6576cb78fd1ddf,False,24,24,24,4.373557262,27,33,216.5416667,29,0.000138889,1,1141,12.75286187,158.6666667,0.005041779,0.002,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
598906c94e603357d24a8a863fc7ef2742eec5ed,False,24,24,24,4.373557262,33,27,216.2916667,29,71.46041184,8,1140,11.75286187,157.6666667,0.013508405,0.004,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ff2a90ca4b76e28701307179155db821ed447236,False,1,1,1,0.0,21,22,84.0,8,89.1096875,1,1139,12.29117498,182.0,0.144372644,0.014,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
96bbf8cb8fce96861d96f32989cc2d9073bb756b,False,1,1,1,0.0,1,1,212.0,10,0.0484375,1,1138,11.73466145,172.0,0.147643441,0.004,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ddf315d03ca1268fc17feddc8a767a967ac19d65,False,1,1,1,0.0,1,1,730.0,16,33.92351852,1,1137,10.73499482,298.0,0.157693294,0.002,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
286b6571c181e0d7dabb17082dae2095595d813e,False,1,1,1,0.0,1,1,212.0,10,33.9009375,1,1136,9.736042754,171.0,0.141155316,0.004,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
4fb970b26842f04e707c497a09202d0adef815bd,False,1,1,1,0.0,12,1,191.0,2,1.953634259,1,1135,15.20029305,46.0,0.199704166,0.036,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
b69fe4d45516a31c1e249d0dbdd64fe643ac53f1,False,1,1,1,0.0,1,1,117.0,12,51.35881944,1,1134,14.2048185,115.0,0.110275844,0.006,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
10672170e0f6f8d9bff4f178bd7f9751ad4c4cd4,False,5,5,5,2.110439709,1,53,375.8,23,5.917469907,3,1133,17.93721837,194.0,0.163552729,0.08,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
9ceb4325012e22cb0f8d4f93b5764e44f07f8788,False,1,1,1,0.0,1,1,730.0,16,0.024270833,1,1132,17.15207773,296.0,0.169041915,0.002,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
95386e1092f4e5369b8836958faef2b134dcb3b4,False,1,1,1,0.0,1,1,730.0,16,0.717974537,1,1131,16.15342708,295.0,0.167855355,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
7ec32abb002a9716a7750b41892d3bd75aad6f84,False,1,1,1,0.0,1,1,230.0,10,0.847175926,1,1130,15.15432224,169.0,0.152127917,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
99c85e305a534c96bca631d50c1c5a9da71b0ad8,False,1,1,1,0.0,1,1,169.0,1,43.69736111,1,1129,14.18545693,21.0,0.193793486,0.002,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ab34e6edf20a60131b43ddbf5bb047fe47f53faf,False,1,1,1,0.0,2,2,162.0,3,43.66517361,1,1128,13.18548763,111.0,0.193427049,0.01,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
3825a599d4db1828ae3d725f1c529b404d9e35f2,False,1,1,1,0.0,1,1,730.0,16,0.218171296,1,1127,12.19718364,294.0,0.164403247,0.002,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
cd652325aa4ec063f07addb7cc3e56e1f634762c,False,1,1,1,0.0,1,1,230.0,10,0.46337963,1,1126,11.20364399,168.0,0.148929306,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
3985e79f4568f0f55a5f418be1db9600f3f60cf9,False,1,1,1,0.0,1,1,730.0,16,0.39943287,1,1125,10.21215216,293.0,0.162512677,0.002,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
d48ca6b85fc17ce2272d6ebd560f1022c7d0c0dd,False,6,7,8,2.544865265,28,21,397.25,24,832.5115958,6,1124,9.222625933,191.6666667,0.101354808,0.246,3,13,19,1.4615,1.4615,6,2,38,2,2,1,3,12,17,1.4167,1.4167,6
35d5732bc1418718f49553a81e42ac4146619dcf,False,1,1,1,0.0,2,2,622.0,8,2611.228623,1,1123,9.073775266,343.0,0.016861095,0.074,1,7,8,1.1429,1.1429,5,1,16,2,2,1,1,7,8,1.1429,1.1429,5
6ed753e4dc30b70fd2ba03ba1977e5d63c8d85dc,False,1,1,1,0.0,1,1,730.0,16,3.395960648,1,1122,14.0536564,291.0,0.168033495,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
60b688841b591bb2585a358ed0798f83897b7b2c,False,24,24,24,4.373557262,27,33,217.8333333,29,0.000127315,1,1121,13.99933047,155.5416667,0.005830276,0.006,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ebfd5a6212e8814006d67d3aa5bd6c68fd031eed,False,24,24,24,4.373557262,33,27,217.5833333,29,81.4376061,4,1120,12.99933047,154.5416667,0.008150184,0.012,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
