commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
d9b8d9eda92b50ebafe3c15bc371078254257461,False,5,0.1,17,26,1.5294,1.5294,12,1,52,3.25,2.0,1,5,0.1,17,26,1.5294,1.5294,12,1,52,3.25,2.0,1,1,1,1,0.0,1,1,229.0,25
8995c4ba5b5dbe1f5b0baa2970e0eaab80f8fd30,False,4,0.09,17,25,1.4706,1.4706,11,1,50,3.33,3.0,1,4,0.09,17,25,1.4706,1.4706,11,1,50,3.33,3.0,1,1,1,1,0.0,1,1,335.0,18
150a28d7aee54cc39e1ca738ce7042f5c3c710ee,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,4,2.0,8,8,364.0,7
0c8179385162d600f89d42e978493702e83acc09,False,9,0.07,21,31,1.4762,1.4762,12,1,62,3.1,2.0,1,9,0.07,21,31,1.4762,1.4762,12,1,62,3.1,2.0,1,1,1,1,0.0,34,34,3663.0,3
b230514b362f0edd4714def56fb5ff3e9774900e,False,7,0.09,18,29,1.6111,1.6111,12,1,58,3.41,2.0,1,7,0.09,18,29,1.6111,1.6111,12,1,58,3.41,2.0,1,1,1,1,0.0,2,2,2286.0,2
7c5ea6fc74d658cca32b717f09478b807fb8ba0a,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,4,2.0,16,16,364.0,7
1b19499fc14636038cf9583f327ece2b90d83695,False,4,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,4,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,1,1,1,0.0,1,1,335.0,18
1a059094d81fe6a3d6a9246be263481117bc4b24,False,4,0.15,11,17,1.5455,1.5455,8,1,34,3.4,3.0,1,4,0.15,11,17,1.5455,1.5455,8,1,34,3.4,3.0,1,4,6,11,3.33468,13,13,233.909,71
e134c28ab37452c704d569f1b5fbdfa194887817,False,4,0.11,15,24,1.6,1.6,11,1,48,3.43,2.0,1,4,0.11,15,24,1.6,1.6,11,1,48,3.43,2.0,1,2,2,2,0.918296,3,3,32.5,7
ef70f9b52b851c7997a9f1a0834714e3eebc1fd8,False,8,0.07,25,40,1.6,1.6,14,1,80,3.33,2.5,2,7,0.1,17,27,1.5882,1.5882,11,1,54,3.38,3.0,1,1,1,1,0.0,81,20,103.0,38
c6e4a1fca5e5386b535e568b144f10bb3e1e0c2c,False,4,0.14,12,18,1.5,1.5,9,1,36,3.27,3.0,1,4,0.14,12,18,1.5,1.5,9,1,36,3.27,3.0,1,0,0,0,0.0,0,0,0.0,0
abae8aeff1cb3e501aa28e58d82254afc72c4e66,False,5,0.11,14,20,1.4286,1.4286,11,1,40,3.08,2.0,1,5,0.12,13,19,1.4615,1.4615,10,1,38,3.17,2.0,1,0,0,0,0.0,0,0,0.0,0
8b8b3a9a5fd9d65d8ed0933352fad808327e0bf3,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,0,0,0,0.0,0,0,0.0,0
6042dfe008e7ad2c3495d1e9c484c7f2e256f04c,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,2,2,5,2.28064,16,16,586.6,53
5d12143c730c3dcd11bb9dce16ed43a15a16eea2,False,11,0.11,17,29,1.7059,1.7059,10,1,58,3.62,3.0,1,11,0.1,17,28,1.6471,1.6471,10,1,56,3.5,3.0,1,0,0,0,0.0,0,0,0.0,0
3362a95be360dd798c32fc0184c0fe67da6ef43a,False,7,0.11,16,26,1.625,1.625,10,2,52,3.47,3.0,1,2,0.23,6,7,1.1667,1.1667,5,1,14,2.8,2.0,1,0,0,0,0.0,0,0,0.0,0
924cf794e1f45993213b72aea3704b151eb10b8d,False,7,0.11,16,26,1.625,1.625,10,2,52,3.47,3.0,1,2,0.23,6,7,1.1667,1.1667,5,1,14,2.8,2.0,1,0,0,0,0.0,0,0,0.0,0
252844329f17480e18609b6d7b3ace37a5265c20,False,7,0.11,16,26,1.625,1.625,10,2,52,3.47,3.0,1,2,0.23,6,7,1.1667,1.1667,5,1,14,2.8,2.0,1,0,0,0,0.0,0,0,0.0,0
d8bc0ce1da1c3f95ba927f3a1ef357c5e2ead02d,False,4,0.07,21,31,1.4762,1.4762,10,1,62,3.1,2.5,1,4,0.07,21,31,1.4762,1.4762,10,1,62,3.1,2.5,1,0,0,0,0.0,0,0,0.0,0
67225e2fd7f1e62586aa7bb7bd2ce265e249f295,False,7,0.11,16,26,1.625,1.625,10,2,52,3.47,3.0,1,2,0.23,6,7,1.1667,1.1667,5,1,14,2.8,2.0,1,1,1,3,0.489072,134,13,367.333,52
