commit_hash,contains_bug,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,glm_probability,rf_probability,add_num_cycles,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree
831ebac6e74ebf2e5d1f7c0185caabb20a4e9799,False,4,7,7,0.272964813,162,363,373.0,21,38.43118717,6,632,8.400824305,189.5,0.686107442,0.424,35,25,46,1.84,1.84,14,1,92,3,2,1,75,33,64,1.9394,1.9394,18
3909ebe2946e6fe7ce0cecf337e408a1546b2fba,False,1,2,2,0.981152234,183,158,960.0,11,2.879467593,2,1,1.0,0.0,0.466814718,0.508,65,37,72,1.9459,1.9459,17,1,144,3,3,1,92,36,71,1.9722,1.9722,15
f984496a10c365ca5577393ff6e718b7f8ed523a,False,1,1,1,0.0,1,1,111.0,4,2.037083333,1,631,8.042911963,227.0,0.538930269,0.066,1,10,12,1.2,1.2,5,1,24,2,2,1,1,10,12,1.2,1.2,5
f4f3c2971dc794346d8b6e14752200008cb90716,False,1,2,3,0.543171413,172,151,470.3333333,11,588.6977045,3,0,0.0,0.0,0.465900658,0.506,2,14,18,1.2857,1.2857,8,1,36,2,2,1,2,8,11,1.375,1.375,6
7a760c6384360a54d1a042133fc7c2805eaf3de9,True,1,3,5,1.105284986,1268,52,318.0,14,575.1133009,2,0,0.0,0.0,0.555998483,0.668,16,29,52,1.7931,1.7931,12,1,104,3,3,1,7,25,41,1.64,1.64,12
af7831b5c7be38fa24d6ad732778f77bc8904fd5,False,1,1,1,0.0,3,11,435.0,3,303.3581366,1,630,7.369074684,226.0,0.455332764,0.154,2,12,17,1.4167,1.4167,7,2,34,2,2,1,4,19,30,1.5789,1.5789,9
b51346c072723d6c3f14da17a0c842243af8a2ab,True,8,44,72,3.713728199,1011,901,266.4166667,50,783.7264673,46,629,6.561516387,131.875,0.871471171,0.6,7,23,35,1.5217,1.5217,14,1,70,3,2,1,98,38,82,2.1579,2.1579,21
fc50fca12f12c44867b1aa07f8a2f7d328a2fd03,False,1,2,2,0.791858353,12,9,332.5,8,181.0291204,2,1,1.0,0.0,0.488003273,0.296,2,18,25,1.3889,1.3889,7,1,50,2,2,1,2,16,23,1.4375,1.4375,7
83650ce341732b5835c08411c8629a94a0fab082,False,1,1,2,0.787126586,17,0,189.5,5,1195.57445,2,0,0.0,0.0,0.368529733,0.132,4,22,35,1.5909,1.5909,9,1,70,3,2,1,0,0,0,0.0,0.0,0
be2c5bdd883f9f42e794e4b0e7e1b30f436fc0a7,False,1,1,1,0.0,3,2,190.0,4,1587.411169,1,628,10.66414189,224.0,0.364292683,0.16,2,12,16,1.3333,1.3333,7,1,32,2,2,1,2,12,16,1.3333,1.3333,7
