commit_hash,contains_bug,la,ns,ent,nrev,tcmt,hcmt,app,rexp,oexp,rrexp,orexp,asexp,rsexp,osexp,NAME NAME OP,NAME OP NAME,OP NEWLINE NAME,OP NAME OP,NAME OP OP,OP OP NEWLINE,NAME OP NL,OP NL NAME,NL NAME OP,NAME OP STRING,NEWLINE NAME NAME,OP OP NAME,OP STRING OP,STRING OP OP,OP STRING NL,STRING NL STRING,OP NL OP,NL OP STRING
3e8a508d4c37fd4003f4d1d98a368e4a5ea52460,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
05e914ecaa4e930e9048cd4f72267e4fd8db10e2,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0
81e79a87c41498cfbbbef2299339fc967a3fba1f,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,0,0,0,2,0,0,1,2,0,0,2,0
32e922e74c2ddbcc3269aa1dbb8714002a6ac430,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
d5051bf90909f693a74ea0f2bdc3db341460a5a3,1,82,1,0.570541143,0,0,0,0,0,0,0,0,0,0,0,35,221,55,209,41,33,2,5,5,13,27,7,14,0,0,0,0,0
4c8ae5e0a5b30039075a87ba39aec6da64fdd138,0,240,2,0.940777348,0,0,0,0,0,0,0,0,0,0,0,24,127,44,139,16,15,6,6,8,28,21,19,30,22,0,0,0,0
7bbbf3dbefcecdccd5fba71bda5406a6ab24d27e,0,5,3,0.960229718,0,0,0,0,0,0,0,0,0,0,0,3,9,3,8,2,2,0,0,0,0,3,0,0,0,0,0,0,0
eecef70fcdd173cc54ad8ac7edba9e9b31855134,1,30,1,0.800356322,0,0,0,0,0,0,0,0,0,0,0,6,53,13,58,8,6,2,2,2,5,7,2,11,4,0,0,2,2
dc5f0be414b22b930eaa4306bde9844dc9690c91,0,69,1,0.0,0,0,0,0,0,0,0,0,0,0,0,17,110,37,127,24,22,13,7,8,9,11,9,30,16,0,0,3,3
1d3b72da488808f6ecffdc234fd9ced56412834c,0,51,3,0.706404824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fba60c3a588ccbae61e3ba8cf6558efc36d116a5,0,226,2,0.6390499,0,0,0,0,0,0,0,0,0,0,0,53,352,109,363,78,65,9,8,23,40,45,8,60,10,6,1,0,0
93b297292100f0b835bc802173906688ff66d9e0,0,262,2,0.627516186,0,0,0,0,0,0,0,0,0,0,0,38,183,60,196,54,51,20,8,21,17,32,3,74,18,5,0,10,8
