commit_hash,contains_bug,argument expr name return,argument expr name return expr,argument name annotation,argument name annotation name,argument name annotation name name,argument_list block block_content comment,argument_list block block_content comment type,argument_list catch,argument_list catch parameter_list,argument_list catch parameter_list parameter,argument_list catch parameter_list parameter decl,argument_list while,argument_list while condition,argument_list while condition expr,block expr specifier,block try block block_content decl_stmt,call name argument_list while,call name argument_list while condition,catch,catch parameter_list,catch parameter_list parameter,catch parameter_list parameter decl,catch parameter_list parameter decl type,class specifier name super_list extends,do,expr name argument expr call,expr name catch,expr name catch parameter_list,expr name catch parameter_list parameter,expr name try,expr name try block,expr name try block block_content
be646246ba8add6bacf025c448f1e9511e475c2c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c9c0d45b52a244b90dda31ba210c590b9af2f9f4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,56,0,0,0,0,0,0
d7ba6ca6f26c5ffc280a8b18d60e0c264910540d,1,2,2,1,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,2,2,2,2,2,0,2,6,1,1,1,0,0,0
4d83d53b0e017306594222c2b292de98ee0d78de,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261cf36181878314b33a5e6efeeda5e38091eace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0
859222146c0a6c168b0323bbb3715b24011e4edb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0
cc3c2d8a8fc16387deefa7bc47df6a90a1fc5fb6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,1,0,0,0,0,0,0,0,0
75fcf1c7fafca34b7e1f507c4841466c46220d53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,1,0,0,0,0,0,0,0,0
a943f323b6ef9a614edee55c075eb63567b5c80a,1,24,24,1,1,1,0,0,2,2,2,2,2,2,2,23,3,2,2,30,30,30,30,30,4,57,84,5,5,5,11,11,11
2faafcce4d8a52a3d64fb1318f8315e7a6e0805a,1,24,24,1,1,1,2,2,4,4,4,4,3,3,3,12,2,1,1,16,16,16,16,16,6,98,37,7,7,7,5,5,5
7038755be153e11ca5ea7278d96746d72b24ea05,1,24,24,1,1,1,2,2,4,4,4,4,3,3,3,12,2,1,1,16,16,16,16,16,6,98,37,7,7,7,5,5,5
