commit_hash,contains_bug,annotation name name operator,annotation name name operator name,argument,argument expr,argument expr call,argument expr call name,argument expr call name name,argument expr literal,argument expr literal type,argument expr name,argument expr name argument,argument expr name argument expr,argument expr name comment,argument expr name comment type,argument expr name expr,argument expr name expr_stmt,argument expr name expr_stmt expr,argument expr name function type,argument expr name if,argument expr name if_stmt,argument expr name if_stmt if,argument expr name operator,argument name,argument name name,argument name name parameter,argument name name parameter_list,argument_list,argument_list argument,argument_list argument expr,argument_list argument expr call,argument_list argument expr call name,argument_list argument expr literal
e24071be0aec7e63a0b73bf01f4bbd9930ece066,1,1,1,733,413,70,70,68,228,228,89,17,17,9,9,16,16,16,1,7,7,7,6,9,3,0,0,309,263,263,26,26,164
f95ec3f5bf12bee07c90943cff3b135e6a7e7a8b,1,1,1,70,20,0,0,0,2,2,15,4,4,0,0,0,0,0,0,3,3,3,0,20,10,1,1,30,13,13,0,0,0
4a4dd27571c44b2374d6a909a88bdd04817b0f11,0,1,1,46,20,2,2,1,4,4,12,1,1,2,2,0,0,0,0,1,1,1,1,1,0,0,0,23,17,17,1,1,4
67c006c322c3925b42322f6ced841a54084f582a,1,1,1,153,81,14,14,14,28,28,34,4,4,3,3,2,2,1,0,1,1,1,6,1,0,0,0,71,60,60,7,7,22
3ebc992e588c076afd4db0c8f28e9f5f86e93979,1,1,1,91,60,0,0,0,5,5,53,5,5,2,2,1,1,1,0,6,6,6,1,1,0,0,0,30,26,26,0,0,3
ad95cb1f0d329e8d80d468cd8d1eb6b0cffd75c2,1,1,1,38,26,0,0,0,4,4,20,4,4,0,0,4,3,3,0,3,3,3,0,1,0,0,0,11,10,10,0,0,0
6d9820ab3d6d7ff025fca7c218bfd951ba859775,0,1,1,133,74,10,10,10,18,18,35,13,13,0,0,1,1,1,0,0,0,0,5,1,0,0,0,58,40,40,0,0,7
29eadf1b8f7eb75192cc73de927832ac71018649,0,1,1,27,12,0,0,0,0,0,9,0,0,2,2,1,1,1,1,0,0,0,0,1,0,0,0,14,8,8,0,0,0
cc8a2a29f18a6b54e182c320fa356751a494d499,1,1,1,257,146,11,11,11,53,53,77,21,21,5,5,6,5,5,0,0,0,0,2,1,0,0,0,110,83,83,3,3,29
f8a245c2731ab09b31d9024496d0f475597504ab,0,1,1,58,38,0,0,0,2,2,32,5,5,1,1,1,1,1,0,0,0,0,1,1,0,0,0,19,16,16,0,0,0
9180eca59258fe07ee067c66e432cf322148025a,1,1,1,41,18,0,0,0,0,0,16,0,0,2,2,3,3,3,0,2,2,2,0,1,0,0,0,22,17,17,0,0,0
2a0147f8f698f22e61281c06691107e24a2f139c,1,1,1,71,29,4,4,4,15,15,6,2,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,35,23,23,4,4,13
04cc1d614d0783ba3302f9de239d5c3b41f2b2db,0,1,1,26,13,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,11,11,0,0,5
7d1b804d3a31c644b1af9fc4f7917f1f25f793d9,0,1,1,194,85,8,8,2,2,2,69,7,7,1,1,8,8,7,0,7,7,7,3,6,3,0,0,102,66,66,4,4,0
e3242b95b35844a0877a83032d3a7e3d5e9bd9c2,0,1,1,69,38,0,0,0,10,10,26,8,8,0,0,3,3,3,0,0,0,0,0,2,1,0,0,29,21,21,0,0,8
5b3610693454d86909ab37391ea0c07014041e8c,1,2,2,55,27,0,0,0,5,5,18,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,27,21,21,0,0,3
06d0109314b39675a205ee6f0898ebde23284d5d,1,1,1,185,94,18,18,16,21,21,43,8,8,2,2,8,8,8,0,0,0,0,0,1,0,0,0,90,65,65,11,11,13
18c5bc86ca256beb9d4ccd6588c0b0ebe9dfcbd0,1,1,1,87,42,3,3,2,11,11,21,9,9,1,1,0,0,0,0,0,0,0,6,1,0,0,0,44,25,25,2,2,4
42beb56a2ed0176bf0c47fe1b844f01d459130d1,0,1,1,53,22,1,1,1,3,3,13,4,4,0,0,2,2,2,1,0,0,0,0,6,3,0,0,25,15,15,0,0,3
aeb364d8b57f4de79d3489bef2071cea9c0c840e,1,1,1,154,52,8,8,5,2,2,36,5,5,4,4,6,6,6,0,0,0,0,1,23,11,0,0,79,41,41,8,8,2
cffee556e4d7897f65ef52020f5b10a278cb9068,0,1,1,20,8,1,1,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,11,7,7,1,1,0
6f6e170325d39f9f7b543a39791b2cb54692f83d,1,1,1,404,171,30,30,27,20,20,113,22,22,7,7,31,23,23,1,0,0,0,1,27,15,0,0,206,129,129,21,21,20
91e832e7b47ff5088ca2bb54aa25f6f166d6c8d5,0,1,1,171,92,5,5,5,27,27,49,17,17,2,2,2,2,2,0,2,1,1,9,1,0,0,0,78,53,53,0,0,13
bd76d9a8272f6037be3938df78c0d3589d04e044,0,1,1,184,112,27,27,22,19,19,56,19,19,1,1,2,2,2,0,0,0,0,7,1,0,0,0,71,64,64,15,15,9
28023b77595991fe3be590a929b7d162556f1d4a,1,1,1,10,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,4,0,0,0
6a059dc40e0020acc64d8049bf7fe6c7c0aad358,1,1,1,10,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,4,4,0,0,0
b73903f6a7d0f7cc89c94d1c8e4e04fa60aeaf13,1,1,1,81,41,3,3,2,6,6,27,5,5,0,0,2,2,2,0,0,0,0,0,1,0,0,0,39,24,24,1,1,3
e7380b4f9c4f29bf5f0c07b95ddba88b0ef3765d,1,1,1,235,120,14,14,13,22,22,78,23,23,4,4,14,8,4,0,2,2,2,3,12,7,0,0,103,76,76,10,10,13
e28edbffe15e9d176d14ea2af8d9460d807b3fc4,1,1,1,297,143,12,12,12,33,33,89,12,12,3,3,1,1,1,1,0,0,0,43,1,0,0,0,153,101,101,6,6,19
4008b37b744ebb01f807e7608959194f36615245,0,1,1,55,32,8,8,7,11,11,10,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,13,13,1,1,6
7eb7b3b723c524ece8ef2247943eb631fefcfe41,1,1,1,330,175,20,20,20,67,67,77,15,15,4,4,17,17,14,0,1,1,1,7,1,0,0,0,154,111,111,7,7,45
2b19054c92f9e93e3e2515ddb568fe501d7fba68,0,1,1,48,32,1,1,0,0,0,29,9,9,0,0,2,2,2,0,4,4,4,1,1,0,0,0,15,13,13,0,0,0
f5ef2db5003f3f75a236f9b3ff2d1d4469ca073e,0,1,1,26,13,1,1,1,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,9,9,0,0,5
776eb119acc9c79deb9ca2f76712a84470d2fac9,1,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
c9ace69cff4a626c9e1c21181cd2b957ae2a3fb0,0,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
5f9b4c14a175873b4f82654513e289c657c694eb,1,5,5,609,316,22,22,20,67,67,205,39,37,3,3,17,10,9,4,6,5,5,11,7,0,0,0,285,189,189,17,17,39
8767e4cde172b6e6070e3fd45325ede617b99343,1,1,1,1678,993,151,151,47,105,105,701,194,194,20,20,27,25,24,6,7,7,6,31,38,9,5,0,647,515,515,138,138,71
f216f22915f9620c086e361e6eb759a75bed199a,0,1,1,40,18,2,2,2,4,4,8,2,2,0,0,2,2,2,0,0,0,0,1,1,0,0,0,21,13,13,0,0,4
f5312aedb9fa3dc895d61844b5c3202b02554f80,0,1,1,246,122,11,11,11,21,21,82,7,7,5,5,11,9,9,0,2,2,2,4,7,6,1,0,117,66,66,5,5,8
95f9a515aac3c19e14a39539f490203f5867dcc5,1,3,3,924,451,39,39,32,116,116,200,33,33,10,10,13,13,13,0,3,3,3,11,24,16,2,2,449,275,275,21,21,89
