commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
a344be789c977392946d96fcd53173d5519d463b,False,7,0.1,16,25,1.5625,1.5625,9,1,50,3.33,2.0,1,7,0.1,16,25,1.5625,1.5625,9,1,50,3.33,2.0,1,1,1,2,0.918296,2,1,2286.5,31
56870ca33a764730a523bf461822209d633c8c73,False,58,0.07,32,65,2.0312,2.0312,17,1,130,4.19,3.0,1,30,0.06,31,59,1.9032,1.9032,17,1,118,3.93,3.0,1,2,3,5,2.01698,184,13,701.6,31
417305c36cfe0b7158bf4f7ff94a25813164e694,False,30,0.06,33,68,2.0606,2.0606,16,2,136,4.25,3.0,2,29,0.06,33,66,2.0,2.0,16,1,132,4.12,3.0,2,2,3,4,1.25184,79,39,824.25,31
99104107fd6e5f49b8301968a722b1c31a065349,False,33,0.07,27,52,1.9259,1.9259,15,1,104,4.0,3.0,1,18,0.07,27,49,1.8148,1.8148,15,1,98,3.77,3.0,1,2,3,3,1.1381,35,7,1165.33,31
fcdb729bb13beb46fb69c4cbbfa8a4f06f0c216d,False,8,0.13,13,21,1.6154,1.6154,11,1,42,3.5,2.5,1,9,0.1,16,25,1.5625,1.5625,11,1,50,3.33,3.0,1,2,2,2,0.543564,5,3,1208.0,31
8d1010b2427833c5c61c99bf1f6ba6ac10cae6cf,False,14,0.08,22,36,1.6364,1.6364,12,1,72,3.43,3.0,1,14,0.08,22,36,1.6364,1.6364,12,1,72,3.43,3.0,1,2,2,2,0.918296,2,1,1360.5,31
90b9f1077d63ce9dc255f8db170b68dcb8935910,False,11,0.08,20,32,1.6,1.6,13,1,64,3.37,2.0,1,4,0.17,9,12,1.3333,1.3333,7,1,24,3.0,2.0,1,2,3,3,1.04038,45,9,1018.33,31
0eb006f655e6fe92b471dcc76cd85f8329f7c8f2,False,44,0.06,36,74,2.0556,2.0556,16,1,148,4.23,3.0,1,163,0.06,36,75,2.0833,2.0833,16,1,150,4.29,3.0,1,2,3,4,1.22679,81,42,1280.75,31
7b47626d95dca27a3d0c5dedf7e0c901ee1d6576,False,7,0.12,13,19,1.4615,1.4615,9,1,38,3.45,3.0,1,7,0.12,13,19,1.4615,1.4615,9,1,38,3.45,3.0,1,3,4,4,1.07331,29,11,750.25,31
70f9cbd697644d6ad9f2cfd64325e2e95f37ac01,False,38,0.06,32,62,1.9375,1.9375,15,1,124,4.13,3.0,1,41,0.06,31,60,1.9355,1.9355,15,1,120,4.14,3.0,1,4,7,11,3.17209,92,1,791.091,31
