commit_hash,contains_bug,annotation expr,annotation expr_stmt,annotation expr_stmt expr,annotation expr_stmt expr operator,annotation expr_stmt expr operator literal,annotation name annotation expr_stmt,annotation name annotation expr_stmt expr,annotation name expr_stmt,annotation name expr_stmt expr,annotation name expr_stmt expr name,argument expr name annotation,argument expr name annotation expr_stmt,argument expr name block expr,argument expr name block return,argument expr operator class,argument expr operator class super,argument expr operator name,argument expr operator name name,argument expr operator name operator,argument name argument_list block,argument name argument_list block annotation,argument name argument_list expr call,argument name name operator operator,argument_list annotation name,argument_list argument expr operator class,argument_list argument expr operator name,argument_list block annotation,argument_list block annotation name,argument_list block annotation name annotation,argument_list expr name,argument_list expr name name,argument_list expr name name operator
fe0e2c563fae61b5f5e12bd2d45b4fd504b6f275,1,26,26,26,26,26,0,0,1,1,1,1,1,11,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,9,8,8
af82db118840abe1dbac89302a02abf1ba7ac2f1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9f663c7dd285e56b3f26b36461d5ae13e126cf74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9c39acb06a12393c1beb6129a61123d82e79f87d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4a42b6d5b9c69e8822e6bf35ef656e3c7f8ae0ac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
03463912a95bdddab9c78a120b1de75b34c03395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
9842b40d2b2cd6c80cbdfc0086f3529a94c423b3,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,2,2,1,0,1,2,1,1,2,0,2,1,1,1,1,1,1,1
44b2a5ccaa7b58878d19634acf364eb90a9ef34e,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
8c237ec8660ea728b7ec5632fd9ea555d2373d1a,1,16,16,16,16,16,0,0,0,0,0,3,3,0,0,2,2,5,0,5,2,0,0,1,0,2,5,0,0,0,0,0,0
6dd00195e650c2f3e5873b286d4502d0a56a6394,1,16,16,16,16,16,0,0,0,0,0,3,3,0,0,2,2,5,0,5,2,0,0,1,0,2,5,0,0,0,0,0,0
