commit_hash,contains_bug,argument expr name,argument expr name name,argument_list argument expr name name,argument_list if,argument_list if_stmt,argument_list if_stmt if,argument_list if_stmt if condition,argument_list if_stmt if condition expr,block block,block block_content,block block_content comment,block block_content comment type,block block_content expr,block block_content expr_stmt,block block_content expr_stmt expr,block block_content expr_stmt expr name,block_content comment,block_content comment type,condition expr name operator name,else block,else block block_content,expr name,expr name name,expr name name operator,expr name name operator name,expr name operator name,expr operator name name literal,expr operator name name operator,expr_stmt expr name name operator,function,incr,incr expr
9ba7a8e612e933da24c4eae0f927bf2fb6af32b0,1,93,3,2,0,0,0,0,0,56,56,4,4,21,21,21,15,4,4,9,4,1,220,46,30,17,23,0,0,10,29,4,4
4e79f49f2382ce29b884653c73280772faf1056c,0,4,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,0,26,12,10,0,1,0,0,0,1,0,0
e9a586677731eb6634f731c63a81012b9db46390,1,23,2,0,1,1,1,1,1,18,18,2,2,6,6,6,4,2,2,0,0,0,52,7,5,3,5,0,1,1,6,1,0
f818ff09d88c220dbf3eb260772ab9982019fb2c,1,24,2,2,3,3,3,3,3,8,8,0,0,4,4,4,2,0,0,0,0,0,49,8,2,0,1,0,0,0,3,2,1
f60122e08d23fc641410b80bd6debed6f8a62538,1,50,9,5,1,1,1,1,1,38,38,4,4,18,18,18,0,4,4,0,0,0,81,22,12,9,6,1,0,2,27,0,0
229229a3c0f95e1d37858a98d7a369d7306876f6,1,88,20,10,2,2,2,2,2,31,31,9,9,11,11,11,5,9,9,4,6,6,158,32,20,18,5,0,0,4,3,3,3
4ac6ce3190d350e651c048fdb8223a9619b33ecf,1,1,1,1,0,0,0,0,0,3,3,0,0,1,1,1,0,0,0,0,0,0,14,6,2,1,1,0,0,0,2,0,0
e584e3a060103fa02d9e168f86a54e62170cce7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
a26f3734c60e2ab9d8cf82b8462b4b3e78080aa1,1,45,24,8,1,1,1,1,1,17,17,0,0,8,8,8,5,0,0,4,2,1,130,47,27,24,20,0,3,10,9,1,1
e3ba95b8b84e0dd6161480050dc8dd9a010dbde4,1,30,14,9,7,7,7,7,7,25,25,1,1,15,15,15,8,1,1,0,2,2,71,35,28,26,5,0,1,12,3,0,0
