commit_hash,contains_bug,annotation name name,annotation name name operator,annotation name name operator name,argument,argument expr,argument expr call,argument expr call name,argument expr call name name,argument expr literal,argument expr literal type,argument expr name,argument expr name annotation,argument expr name annotation expr_stmt,argument expr name argument,argument expr name argument expr,argument expr name expr,argument expr name expr call,argument expr name expr name,argument expr name if,argument expr name if_stmt,argument expr name if_stmt if,argument expr name name,argument expr name name block,argument expr name name operator,argument expr name operator call,argument name argument,argument name argument_list expr,argument name argument_list expr_stmt,argument name argument_list expr_stmt expr,argument name name name argument,argument name name name argument_list,argument name operator
a77190dbaa033ed37a882d847da99d5ba4c1571f,1,1,1,1,187,81,19,19,15,12,12,48,0,0,4,4,7,1,1,2,2,2,23,0,19,0,4,1,1,1,0,0,0
97e3f9044c93e5c78ad10e2ff47c130902f4ce5c,0,1,1,1,44,21,11,11,10,4,4,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
c95c809a55005b44b05f0c496e4a3fd75a26be91,1,1,1,1,4687,2206,366,366,351,393,393,1232,13,11,143,143,237,7,3,20,20,17,411,4,312,10,54,5,2,2,2,2,2
89f68fbb4603bb92ca1e27f6334f57577a568fa0,0,1,1,1,46,22,5,5,5,4,4,9,0,0,2,2,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0
dc56aaeed6a56dff58e7ff1328ab36da8cae427a,1,1,1,1,223,100,27,27,22,14,14,51,0,0,11,11,4,2,0,3,3,3,12,0,8,1,2,0,0,0,0,0,0
4637ca417ae31f6b4f0530b8dca2d5fbadc2e03f,1,1,1,1,123,75,7,7,5,4,4,61,0,0,15,15,5,1,1,1,1,1,20,0,5,0,0,0,0,0,0,0,0
43480c12f6fea605c720ae64aa4a9d0208d82735,0,1,1,1,188,103,11,11,8,11,11,78,0,0,22,22,5,0,0,0,0,0,24,0,9,0,0,0,0,0,0,0,0
283cf1c23a9da8288d991bf207ede3f32cd4a23f,1,1,1,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7cf82d3122c3d8db45f12f7ae52631d3fefd739f,0,1,1,1,194,88,12,12,10,24,24,37,2,2,4,4,7,0,0,0,0,0,10,0,8,1,0,0,0,0,0,0,0
6dc33ba18b20ae23016129616d95e95cb29dd454,0,1,1,1,19,7,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
24fedae651b26b0f5fb980e96f26ae39fc92e89f,1,1,1,1,60,30,1,1,1,7,7,20,1,1,8,8,0,0,0,2,2,2,4,0,1,0,0,0,0,0,0,0,3
4249aaeea2dde6a925c239d11b846804f6fc546c,1,1,1,1,757,351,103,103,100,50,50,179,2,2,33,33,43,12,19,1,1,1,47,1,32,4,0,0,0,0,0,0,0
fd14a1dbd1286840a8b456e3bf7e1c76572f9dc4,1,1,1,1,26,13,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
438ffd8aeb9c11c8c233de31b883b29f866caadf,0,1,1,1,25,12,0,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
a98c7f89a4515c4c86c291929b735f582a9a7a23,0,1,1,1,152,77,40,40,20,8,8,25,0,0,7,7,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0
89d108d7acbcd527e84e0f41401e800d45e20ea1,0,1,1,1,74,32,8,8,5,9,9,12,0,0,4,4,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
f97be5d55cf8c25da0456b0345eae0aa4330c68b,1,1,1,1,82,38,15,15,13,9,9,12,0,0,3,3,2,0,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0
9df0de7807592c606918d268e60bbebc14d7eda0,1,1,1,1,2505,1106,551,551,549,117,117,260,0,0,24,24,20,6,1,6,6,6,94,1,82,0,2,0,0,0,0,0,4
783d56e523ee98eb5ca52550b877b790b9cae9ee,0,1,1,1,115,55,6,6,6,14,14,31,0,0,4,4,0,0,0,0,0,0,12,0,4,8,0,0,0,0,0,0,0
5940a3764ca9cb1f95a7378713e77f38742d9ddd,0,1,1,1,1163,515,255,255,250,30,30,97,0,0,8,8,15,1,1,0,0,0,32,0,28,0,2,0,0,0,0,0,0
109f41c6607e889f88709038b9fce8d266d154e1,1,1,1,1,225,125,24,24,13,19,19,80,0,0,27,27,14,6,7,0,0,0,17,0,14,0,0,0,0,0,0,0,0
4fe137114451450109e32c8c6e30b2f5c898b0bf,0,1,1,1,47,23,6,6,6,6,6,9,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0
8ca266face9f7848fde26dd83dafbd45ff7eedb1,1,0,0,0,874,412,40,40,21,170,170,185,1,1,45,45,48,5,0,7,4,4,17,0,13,0,15,2,2,2,0,0,0
57d1762e124e16bba572e444146df892be3d3add,1,1,1,1,34,16,0,0,0,6,6,8,0,0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b66a2dc7237e15d106962405f1fc1aa615d57cb6,0,1,1,1,56,31,1,1,1,11,11,16,0,0,8,8,2,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0
222b014584083f101173bbaecd89649128330854,0,1,1,1,200,115,0,0,0,21,21,88,0,0,18,18,14,0,0,3,0,0,23,0,2,1,0,0,0,0,0,0,0
605ed64f75172f1ad2ea098023f81b42475c6cd6,1,0,0,0,462,262,34,34,34,56,56,164,2,1,33,33,22,1,3,2,2,2,51,1,24,4,4,1,0,0,0,0,2
55c15b2f605ce7d0eb799faa3d5e5240ac581c0f,0,1,1,1,16,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
872db60c8da0d03900e057923ae41f043ffc6b59,1,0,0,0,244,87,16,16,13,25,25,42,2,2,9,9,8,0,0,3,3,3,12,0,9,0,0,0,0,0,1,1,0
cc4b4398f279777662ed59f7cde7abb50c12ccb2,1,0,0,0,1310,689,103,103,85,202,202,362,1,1,82,82,54,10,4,7,7,7,84,0,66,29,2,2,0,0,0,0,1
ef513d2853ce943ce3fea6aa6a3f6c9bdec25f63,1,0,0,0,139,63,10,10,10,14,14,36,0,0,4,4,4,0,0,1,1,1,9,0,4,0,0,0,0,0,0,0,0
cbb1eac9db427db0047847e3ed5564979be5571c,1,1,1,1,259,126,21,21,16,26,26,69,0,0,5,5,7,2,1,0,0,0,34,0,22,6,3,0,0,0,0,0,0
6d4a9d0ea41ee7135ca4f6bc5ad30e73a712a58a,1,1,1,1,40,20,0,0,0,6,6,8,0,0,1,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
db11ab356af7c29478e41441bd2325dfdb5130c0,0,1,1,1,151,73,5,5,4,11,11,45,0,0,5,5,6,0,0,0,0,0,13,0,7,0,4,0,0,0,0,0,0
92f4079e54a1fad847ca6721f5ef6b72a625a6b2,0,1,1,1,85,46,4,4,3,13,13,25,0,0,5,5,2,0,0,2,2,2,7,0,3,1,0,0,0,0,0,0,0
e20901133e43ff2fce39512d5c78abc588acbe39,1,1,1,1,881,437,89,89,87,131,131,197,1,1,28,28,24,0,2,2,2,2,79,4,58,7,9,6,2,2,0,0,0
0439fbb057d1ecd32a5cea250481c63a6cfc3a96,0,1,1,1,47,19,6,6,6,2,2,9,0,0,0,0,2,0,0,2,2,2,4,0,2,0,0,0,0,0,0,0,0
12ef61470e12aa9885220de1e453dec1da05b28c,1,1,1,1,121,49,10,10,9,10,10,27,3,3,4,4,0,0,0,1,1,1,10,0,3,0,0,0,0,0,0,0,0
cd91b960477235e891566feb9a07174d61756f6b,0,0,0,0,227,114,35,35,30,40,40,30,0,0,5,5,4,0,1,3,3,3,4,0,2,7,0,0,0,0,0,0,0
3ddd8249c04f29e66074da1f856f8057867f0bdd,0,1,1,1,208,101,4,4,4,20,20,73,0,0,19,19,4,0,0,0,0,0,18,0,7,6,7,0,0,0,0,0,0
c270a20c3819a04cfa368f2dc34e0a98484f2c9c,0,1,1,1,30,14,0,0,0,1,1,11,0,0,0,0,1,0,1,1,1,1,6,1,4,0,0,0,0,0,0,0,0
90c0685746f6115db9accdc05d80a099e116e873,1,1,1,1,573,271,41,41,33,103,103,111,1,1,17,17,20,2,4,5,5,5,25,0,14,3,12,0,0,0,2,2,3
56fd858deb3d8047370649fad9df11c0b3e7ad53,1,1,1,1,71,28,1,1,1,8,8,17,0,0,0,0,3,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0
0e0aa49915d3311e9104d1e699a7b31fbb5943a5,0,1,1,1,227,103,9,9,9,42,42,30,1,1,1,1,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0
4bd777e5e45ce097aa07fbc1385623139d102069,1,1,1,1,121,48,9,9,4,14,14,20,0,0,1,1,2,0,0,0,0,0,8,0,8,0,1,0,0,0,0,0,0
75da42b7377a34e21ca458857ecc7c60f7dc21e0,0,1,1,1,99,33,5,5,2,13,13,11,0,0,2,2,1,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0
2fc2fc9ec5eb9d14edc449284c9e07090a8ece9a,1,1,1,1,1113,499,141,141,141,153,153,176,0,0,10,10,7,0,5,0,0,0,127,0,124,0,7,0,0,0,2,2,0
b54417b79b12b20450ff4758f3b690d4200a83dd,1,1,1,1,86,51,2,2,0,32,32,15,0,0,5,5,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
07fa74f450a79ccb6385c7c5389c9f56d7136854,0,1,1,1,353,150,24,24,24,35,35,85,0,0,2,2,13,5,0,1,1,1,46,0,40,0,2,0,0,0,0,0,0
d929be9f70c040c09553ba5178fffffc7f99931b,0,1,1,1,57,25,5,5,1,6,6,9,0,0,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0f4b0181bc8bdac4696bce2bde854b332bb02d80,1,0,0,0,4984,2529,506,506,444,525,525,1365,4,4,265,265,141,20,9,21,19,17,440,3,342,40,56,3,2,2,0,0,5
746be5c2917310ab7202767a1a6bb2c79ad26dd6,0,1,1,1,317,175,25,25,12,86,86,59,0,0,17,17,10,0,0,1,1,1,7,0,1,0,0,0,0,0,0,0,0
0c90b8c3629ffbf98fdafa5081979a7d42aaf056,1,1,1,1,383,188,30,30,28,42,42,106,0,0,10,10,7,0,1,0,0,0,66,5,48,0,0,0,0,0,0,0,0
6aefbc710d28adbe82347dde9d17694f7dd6c753,0,1,1,1,27,12,0,0,0,1,1,9,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
3e20533b0fc75ee91ed7e6bad9eff07a63dba35c,1,1,1,1,671,287,33,33,28,65,65,163,3,3,33,33,21,0,1,4,4,4,38,4,25,9,27,3,3,3,5,5,5
44af3a3cbeacd2d5cc602a39556c53c375f4747b,1,1,1,1,33,15,0,0,0,8,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
e86b96d45cc7af706a0e0f5bd1bf36d760266c8e,1,1,1,1,76,33,4,4,3,4,4,19,0,0,1,1,3,0,0,1,1,1,6,0,3,3,4,0,0,0,1,1,1
10549ef294b0e08a3802eb58d7c9ef5f1afe15ba,1,1,1,1,53,23,1,1,1,4,4,16,0,0,3,3,2,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0
b5524c901b9a4b0607647f4047b0e7ff8a07a3d7,0,1,1,1,29,14,1,1,1,1,1,10,0,0,1,1,1,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0
b074b2ceec82d081441d7dd3bd7dee8506c67bd6,1,1,1,1,1673,771,209,209,160,186,186,340,4,4,80,80,92,32,21,10,8,8,49,5,38,28,9,3,2,2,0,0,2
396fcc6c453b28ad09a5940a390ca1a88b33cbfa,1,1,1,1,28,10,1,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0
0f086d41b8f274abe0959705f76fa3225ab5ff2e,1,1,1,1,48,22,1,1,1,2,2,14,0,0,2,2,4,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0
aebf775a35e618c491b20bc5690e93f82ac401bf,0,1,1,1,80,48,6,6,5,14,14,21,0,0,1,1,2,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0
